,Treatment,Timestamp,ODmean,ODsd,ODcount,ElapsedTime,OD2mean,OD2sd,ODse,OD2se,Temp,RPM,pH,Volume,Media,Col,pch,InoculationDate,ExpName
19,RPM_0.2_LL,1/16/19 17:01,0.028666667,0.002516611,3,0,0.028666667,0.002516611,0.001452966,0.001452966,70,0.2,3,Bioreactor,Brock,deeppink2,16,Cobban 2020,Saci O2 Sparge Experiments
20,RPM_0.2_LL,1/17/19 5:57,0.027,0.005291503,3,12.93780194,0.027,0.005291503,0.00305505,0.00305505,70,0.2,3,Bioreactor,Brock,deeppink2,16,Cobban 2020,Saci O2 Sparge Experiments
21,RPM_0.2_LL,1/17/19 11:41,0.031333333,0.003511885,3,18.67440167,0.031333333,0.003511885,0.002027588,0.002027588,70,0.2,3,Bioreactor,Brock,deeppink2,16,Cobban 2020,Saci O2 Sparge Experiments
22,RPM_0.2_LL,1/18/19 4:28,0.044333333,0.00305505,3,35.46369806,0.044333333,0.00305505,0.001763834,0.001763834,70,0.2,3,Bioreactor,Brock,deeppink2,16,Cobban 2020,Saci O2 Sparge Experiments
23,RPM_0.2_LL,1/18/19 11:43,0.048333333,0.001527525,3,42.71116944,0.048333333,0.001527525,0.000881917,0.000881917,70,0.2,3,Bioreactor,Brock,deeppink2,16,Cobban 2020,Saci O2 Sparge Experiments
24,RPM_0.2_LL,1/19/19 10:33,0.049666667,0.001527525,3,65.54949972,0.049666667,0.001527525,0.000881917,0.000881917,70,0.2,3,Bioreactor,Brock,deeppink2,16,Cobban 2020,Saci O2 Sparge Experiments
25,RPM_0.2_LL,1/19/19 14:44,0.064,0.001,3,69.72362889,0.064,0.001,0.00057735,0.00057735,70,0.2,3,Bioreactor,Brock,deeppink2,16,Cobban 2020,Saci O2 Sparge Experiments
26,RPM_0.2_LL,1/20/19 7:27,0.072666667,0.00057735,3,86.44819417,0.072666667,0.00057735,0.000333333,0.000333333,70,0.2,3,Bioreactor,Brock,deeppink2,16,Cobban 2020,Saci O2 Sparge Experiments
27,RPM_0.2_LL,1/20/19 12:44,0.073666667,0.001154701,3,91.72310556,0.073666667,0.001154701,0.000666667,0.000666667,70,0.2,3,Bioreactor,Brock,deeppink2,16,Cobban 2020,Saci O2 Sparge Experiments
28,RPM_0.2_LL,1/21/19 4:50,0.078666667,0.001527525,3,107.8199003,0.078666667,0.001527525,0.000881917,0.000881917,70,0.2,3,Bioreactor,Brock,deeppink2,16,Cobban 2020,Saci O2 Sparge Experiments
29,RPM_0.2_LL,1/21/19 6:21,0.077666667,0.00321455,3,109.3437064,0.077666667,0.00321455,0.001855921,0.001855921,70,0.2,3,Bioreactor,Brock,deeppink2,16,Cobban 2020,Saci O2 Sparge Experiments
30,RPM_0.2_LL,1/22/19 4:56,0.081666667,0.001527525,3,131.918885,0.081666667,0.001527525,0.000881917,0.000881917,70,0.2,3,Bioreactor,Brock,deeppink2,16,Cobban 2020,Saci O2 Sparge Experiments
31,RPM_0.2_LL,1/22/19 12:13,0.080333333,0.002516611,3,139.2158675,0.080333333,0.002516611,0.001452966,0.001452966,70,0.2,3,Bioreactor,Brock,deeppink2,16,Cobban 2020,Saci O2 Sparge Experiments
32,RPM_0.2_LL,1/23/19 5:16,0.080666667,0.002516611,3,156.2662636,0.080666667,0.002516611,0.001452966,0.001452966,70,0.2,3,Bioreactor,Brock,deeppink2,16,Cobban 2020,Saci O2 Sparge Experiments
33,RPM_0.2_LL,1/23/19 10:28,0.071666667,0.005507571,3,161.45065,0.071666667,0.005507571,0.003179797,0.003179797,70,0.2,3,Bioreactor,Brock,deeppink2,16,Cobban 2020,Saci O2 Sparge Experiments
34,RPM_0.2_LL,1/23/19 15:17,0.077,0.004582576,3,166.2696222,0.077,0.004582576,0.002645751,0.002645751,70,0.2,3,Bioreactor,Brock,deeppink2,16,Cobban 2020,Saci O2 Sparge Experiments
35,RPM_0.2_LL,1/24/19 4:40,0.077666667,0.005507571,3,179.6658883,0.077666667,0.005507571,0.003179797,0.003179797,70,0.2,3,Bioreactor,Brock,deeppink2,16,Cobban 2020,Saci O2 Sparge Experiments
36,RPM_0.2_LL,1/24/19 12:05,0.077333333,0.004041452,3,187.0818067,0.077333333,0.004041452,0.002333333,0.002333333,70,0.2,3,Bioreactor,Brock,deeppink2,16,Cobban 2020,Saci O2 Sparge Experiments
71,RPM_0.5_LL,2/22/19 19:05,0.020333333,0.004932883,3,0,0.020333333,0.004932883,0.002848001,0.002848001,70,0.5,3,Bioreactor,Brock,cyan3,16,Cobban 2020,Saci O2 Sparge Experiments
72,RPM_0.5_LL,2/23/19 9:18,0.043666667,0.002309401,3,14.20672833,0.043666667,0.002309401,0.001333333,0.001333333,70,0.5,3,Bioreactor,Brock,cyan3,16,Cobban 2020,Saci O2 Sparge Experiments
73,RPM_0.5_LL,2/23/19 13:10,0.050333333,0.004163332,3,18.07460444,0.050333333,0.004163332,0.002403701,0.002403701,70,0.5,3,Bioreactor,Brock,cyan3,16,Cobban 2020,Saci O2 Sparge Experiments
