,Treatment,Timestamp,ODmean,ODsd,ODcount,ElapsedTime,OD2mean,OD2sd,ODse,OD2se,Temp,RPM,pH,Volume,Media,Col,pch,InoculationDate,ExpName
68,RPM_50,4/6/19 11:07,0.049,0.002,5,0,0.049,0.002,0.000894427,0.000894427,70,50,3,125,Brock,darkgoldenrod1,18,Cobban 2020,Saci Batch Experiments
69,RPM_50,4/7/19 11:08,0.0862,0.00683374,5,24.01666667,0.0862,0.00683374,0.003056141,0.003056141,70,50,3,125,Brock,darkgoldenrod1,18,Cobban 2020,Saci Batch Experiments
70,RPM_50,4/8/19 11:03,0.1354,0.0068775,5,47.93333333,0.1354,0.0068775,0.003075711,0.003075711,70,50,3,125,Brock,darkgoldenrod1,18,Cobban 2020,Saci Batch Experiments
71,RPM_50,4/9/19 11:06,0.1766,0.004159327,5,71.98333333,0.1766,0.004159327,0.001860108,0.001860108,70,50,3,125,Brock,darkgoldenrod1,18,Cobban 2020,Saci Batch Experiments
72,RPM_50,4/10/19 11:42,0.209,0.008276473,5,96.58333333,0.209,0.008276473,0.003701351,0.003701351,70,50,3,125,Brock,darkgoldenrod1,18,Cobban 2020,Saci Batch Experiments
73,RPM_50,4/11/19 11:03,0.2204,0.009528903,5,119.9333333,0.2204,0.009528903,0.004261455,0.004261455,70,50,3,125,Brock,darkgoldenrod1,18,Cobban 2020,Saci Batch Experiments
54,RPM_125,4/5/19 3:35,0.0566,0.002073644,5,0,0.0566,0.002073644,0.000927362,0.000927362,70,125,3,125,Brock,deeppink2,15,Cobban 2020,Saci Batch Experiments
55,RPM_125,4/5/19 10:47,0.07,0.00324037,5,7.2,0.07,0.00324037,0.001449138,0.001449138,70,125,3,125,Brock,deeppink2,15,Cobban 2020,Saci Batch Experiments
56,RPM_125,4/5/19 18:56,0.1014,0.006348228,5,15.35,0.1014,0.006348228,0.002839014,0.002839014,70,125,3,125,Brock,deeppink2,15,Cobban 2020,Saci Batch Experiments
57,RPM_125,4/6/19 3:03,0.237,0.008336666,5,23.46666667,0.237,0.008336666,0.00372827,0.00372827,70,125,3,125,Brock,deeppink2,15,Cobban 2020,Saci Batch Experiments
58,RPM_125,4/6/19 11:05,0.3606,0.011058933,5,31.5,0.3606,0.011058933,0.004945705,0.004945705,70,125,3,125,Brock,deeppink2,15,Cobban 2020,Saci Batch Experiments
59,RPM_125,4/6/19 18:59,0.5528,0.013881643,5,39.4,0.5528,0.013881643,0.006208059,0.006208059,70,125,3,125,Brock,deeppink2,15,Cobban 2020,Saci Batch Experiments
60,RPM_125,4/7/19 3:15,0.6702,0.00914877,5,47.66666667,0.6702,0.00914877,0.004091455,0.004091455,70,125,3,125,Brock,deeppink2,15,Cobban 2020,Saci Batch Experiments
61,RPM_125,4/7/19 11:00,0.7306,0.013145341,5,55.41666667,0.7306,0.013145341,0.005878775,0.005878775,70,125,3,125,Brock,deeppink2,15,Cobban 2020,Saci Batch Experiments
62,RPM_300,4/23/19 3:33,0.0624,0.000547723,5,0,0.0624,0.000547723,0.000244949,0.000244949,70,300,3,125,Brock,cyan3,17,Cobban 2020,Saci Batch Experiments
63,RPM_300,4/23/19 10:57,0.0988,0.001923538,5,7.4,0.0988,0.001923538,0.000860233,0.000860233,70,300,3,125,Brock,cyan3,17,Cobban 2020,Saci Batch Experiments
64,RPM_300,4/23/19 18:45,0.1946,0.00559464,5,15.2,0.1946,0.00559464,0.002501999,0.002501999,70,300,3,125,Brock,cyan3,17,Cobban 2020,Saci Batch Experiments
65,RPM_300,4/24/19 2:50,0.2914,0.008142481,5,23.28333333,0.2914,0.008142481,0.003641428,0.003641428,70,300,3,125,Brock,cyan3,17,Cobban 2020,Saci Batch Experiments
66,RPM_300,4/24/19 10:50,0.4932,0.017484279,5,31.28333333,0.4932,0.017484279,0.007819207,0.007819207,70,300,3,125,Brock,cyan3,17,Cobban 2020,Saci Batch Experiments
67,RPM_300,4/24/19 17:25,0.6286,0.015142655,5,37.86666667,0.6286,0.015142655,0.006772001,0.006772001,70,300,3,125,Brock,cyan3,17,Cobban 2020,Saci Batch Experiments
