,Treatment,Timestamp,ODmean,ODsd,ODcount,ElapsedTime,OD2mean,OD2sd,ODse,OD2se,Temp,RPM,pH,Volume,Media,Col,pch,InoculationDate,ExpName
104,Temp_65,10/12/17 5:43,0.0088,0.004377214,5,0,0.0088,0.004377214,0.001957549,0.001957549,65,200,3,125,Brock,deeppink2,16,Cobban 2020,Saci Batch Experiments
105,Temp_65,10/12/17 13:05,0.0228,0.002009975,5,7.366666667,0.0228,0.002009975,0.000898888,0.000898888,65,200,3,125,Brock,deeppink2,16,Cobban 2020,Saci Batch Experiments
106,Temp_65,10/12/17 20:15,0.02272,0.004526809,5,14.53333333,0.02272,0.004526809,0.002024451,0.002024451,65,200,3,125,Brock,deeppink2,16,Cobban 2020,Saci Batch Experiments
107,Temp_65,10/13/17 4:56,0.04812,0.002086145,5,23.22,0.04812,0.002086145,0.000932952,0.000932952,65,200,3,125,Brock,deeppink2,16,Cobban 2020,Saci Batch Experiments
108,Temp_65,10/13/17 20:27,0.1286,0.008505292,5,38.73333333,0.1286,0.008505292,0.003803682,0.003803682,65,200,3,125,Brock,deeppink2,16,Cobban 2020,Saci Batch Experiments
109,Temp_65,10/14/17 5:29,0.18996,0.014162203,5,47.76666667,0.18996,0.014162203,0.00633353,0.00633353,65,200,3,125,Brock,deeppink2,16,Cobban 2020,Saci Batch Experiments
110,Temp_65,10/14/17 13:20,0.3026,0.026044577,5,55.62583333,0.3026,0.026044577,0.011647489,0.011647489,65,200,3,125,Brock,deeppink2,16,Cobban 2020,Saci Batch Experiments
111,Temp_65,10/14/17 20:06,0.39584,0.027156362,5,62.38333333,0.39584,0.027156362,0.012144694,0.012144694,65,200,3,125,Brock,deeppink2,16,Cobban 2020,Saci Batch Experiments
112,Temp_65,10/15/17 5:05,0.4992,0.027481994,5,71.36666667,0.4992,0.027481994,0.012290321,0.012290321,65,200,3,125,Brock,deeppink2,16,Cobban 2020,Saci Batch Experiments
113,Temp_65,10/15/17 13:09,0.63888,0.033255255,5,79.43333333,0.63888,0.033255255,0.014872202,0.014872202,65,200,3,125,Brock,deeppink2,16,Cobban 2020,Saci Batch Experiments
114,Temp_65,10/15/17 19:58,0.742,0.041131496,5,86.25,0.742,0.041131496,0.018394564,0.018394564,65,200,3,125,Brock,deeppink2,16,Cobban 2020,Saci Batch Experiments
115,Temp_65,10/16/17 5:44,0.86992,0.053254784,5,96.01666667,0.86992,0.053254784,0.023816263,0.023816263,65,200,3,125,Brock,deeppink2,16,Cobban 2020,Saci Batch Experiments
116,Temp_65,10/16/17 12:55,0.99172,0.055119797,5,103.215,0.99172,0.055119797,0.024650323,0.024650323,65,200,3,125,Brock,deeppink2,16,Cobban 2020,Saci Batch Experiments
117,Temp_65,10/16/17 20:38,1.00396,0.04788411,5,110.9186111,1.00396,0.04788411,0.021414425,0.021414425,65,200,3,125,Brock,deeppink2,16,Cobban 2020,Saci Batch Experiments
118,Temp_65,10/17/17 4:54,1.05264,0.020261491,5,119.1833333,1.05264,0.020261491,0.009061214,0.009061214,65,200,3,125,Brock,deeppink2,16,Cobban 2020,Saci Batch Experiments
119,Temp_65,10/17/17 12:34,1.05928,0.026425594,5,126.85,1.05928,0.026425594,0.011817885,0.011817885,65,200,3,125,Brock,deeppink2,16,Cobban 2020,Saci Batch Experiments
120,Temp_65,10/17/17 20:34,1.07192,0.035175162,5,134.85,1.07192,0.035175162,0.015730811,0.015730811,65,200,3,125,Brock,deeppink2,16,Cobban 2020,Saci Batch Experiments
121,Temp_65,10/18/17 4:57,1.18828,0.033891474,5,143.2397222,1.18828,0.033891474,0.015156728,0.015156728,65,200,3,125,Brock,deeppink2,16,Cobban 2020,Saci Batch Experiments
