,Treatment,Timestamp,ODmean,ODsd,ODcount,ElapsedTime,OD2mean,OD2sd,ODse,OD2se,Temp,RPM,pH,Volume,Media,Col,pch,InoculationDate,ExpName
1,pH_2,4/13/18 10:20,0.0132,0.002167948,5,0,0.0132,0.002167948,0.000969536,0.000969536,70,200,2,125,Brock,deeppink2,16,Cobban 2020,Saci Batch Experiments
2,pH_2,4/13/18 15:55,0.0214,0.00167332,5,5.583333333,0.0214,0.00167332,0.000748331,0.000748331,70,200,2,125,Brock,deeppink2,16,Cobban 2020,Saci Batch Experiments
3,pH_2,4/13/18 20:54,0.0432,0.002280351,5,10.56666667,0.0432,0.002280351,0.001019804,0.001019804,70,200,2,125,Brock,deeppink2,16,Cobban 2020,Saci Batch Experiments
4,pH_2,4/14/18 3:04,0.0834,0.005176872,5,16.73333333,0.0834,0.005176872,0.002315167,0.002315167,70,200,2,125,Brock,deeppink2,16,Cobban 2020,Saci Batch Experiments
5,pH_2,4/14/18 8:46,0.05598,0.028035727,5,22.43333333,0.05598,0.028035727,0.012537958,0.012537958,70,200,2,125,Brock,deeppink2,16,Cobban 2020,Saci Batch Experiments
6,pH_2,4/14/18 13:35,0.116,0.002828427,5,27.25,0.116,0.002828427,0.001264911,0.001264911,70,200,2,125,Brock,deeppink2,16,Cobban 2020,Saci Batch Experiments
7,pH_2,4/14/18 18:17,0.1374,0.00497996,5,31.95,0.1374,0.00497996,0.002227106,0.002227106,70,200,2,125,Brock,deeppink2,16,Cobban 2020,Saci Batch Experiments
8,pH_2,4/15/18 3:41,0.2424,0.010237187,5,41.35,0.2424,0.010237187,0.004578209,0.004578209,70,200,2,125,Brock,deeppink2,16,Cobban 2020,Saci Batch Experiments
9,pH_2,4/15/18 10:20,0.3504,0.014258331,5,48,0.3504,0.014258331,0.006376519,0.006376519,70,200,2,125,Brock,deeppink2,16,Cobban 2020,Saci Batch Experiments
10,pH_2,4/15/18 19:20,0.5246,0.02069541,5,57,0.5246,0.02069541,0.009255269,0.009255269,70,200,2,125,Brock,deeppink2,16,Cobban 2020,Saci Batch Experiments
