Time (min),Value (pA)
6.001667,3.291064
6.003333,3.28936
6.005,3.287992
6.006667,3.286768
6.008333,3.285801
6.01,3.285539
6.011667,3.284598
6.013333,3.283506
6.015,3.282884
6.016667,3.280346
6.018333,3.279055
6.02,3.27776
6.021667,3.277323
6.023333,3.278149
6.025,3.279445
6.026667,3.279157
6.028333,3.280302
6.03,3.279584
6.031667,3.278883
6.033333,3.275947
6.035,3.274987
6.036667,3.27337
6.038333,3.272488
6.04,3.273383
6.041667,3.27334
6.043333,3.27347
6.045,3.273952
6.046667,3.273633
6.048333,3.273103
6.05,3.272145
6.051667,3.272661
6.053333,3.272438
6.055,3.273221
6.056667,3.275781
6.058333,3.276837
6.06,3.278957
6.061667,3.280162
6.063333,3.281237
6.065,3.281818
6.066667,3.281454
6.068333,3.279831
6.07,3.276953
6.071667,3.275941
6.073333,3.274848
6.075,3.272516
6.076667,3.271429
6.078333,3.27002
6.08,3.27045
6.081667,3.270656
6.083333,3.270479
6.085,3.27047
6.086667,3.269669
6.088333,3.269176
6.09,3.269122
6.091667,3.268891
6.093333,3.268402
6.095,3.267046
6.096667,3.267344
6.098333,3.266694
6.1,3.265839
6.101667,3.264144
6.103333,3.261407
6.105,3.259306
6.106667,3.25722
6.108333,3.25565
6.11,3.255113
6.111667,3.254297
6.113333,3.254065
6.115,3.253972
6.116667,3.253036
6.118333,3.252598
6.12,3.251911
6.121667,3.24996
6.123333,3.246753
6.125,3.244207
6.126667,3.242299
6.128333,3.239547
6.13,3.237703
6.131667,3.235922
6.133333,3.234983
6.135,3.235752
6.136667,3.236402
6.138333,3.236079
6.14,3.236595
6.141667,3.237909
6.143333,3.237727
6.145,3.238027
6.146667,3.237751
6.148333,3.236922
6.15,3.238018
6.151667,3.239879
6.153333,3.24137
6.155,3.243418
6.156667,3.246349
6.158333,3.248329
6.16,3.248311
6.161667,3.24899
6.163333,3.247663
6.165,3.247443
6.166667,3.24851
6.168333,3.250582
6.17,3.251896
6.171667,3.254666
6.173333,3.256176
6.175,3.256503
6.176667,3.254943
6.178333,3.252226
6.18,3.248213
6.181667,3.245266
6.183333,3.242367
6.185,3.242022
6.186667,3.241177
6.188333,3.241197
6.19,3.241551
6.191667,3.242903
6.193333,3.243251
6.195,3.243584
6.196667,3.243412
6.198333,3.243582
6.2,3.243783
6.201667,3.24433
6.203333,3.243233
6.205,3.242617
6.206667,3.241325
6.208333,3.239328
6.21,3.236975
6.211667,3.233387
6.213333,3.231337
6.215,3.230123
6.216667,3.230373
6.218333,3.232103
6.22,3.234035
6.221667,3.236658
6.223333,3.237004
6.225,3.236076
6.226667,3.234841
6.228333,3.232951
6.23,3.233398
6.231667,3.232511
6.233333,3.231657
6.235,3.232441
6.236667,3.233212
6.238333,3.232808
6.24,3.231166
6.241667,3.229285
6.243333,3.228027
6.245,3.227507
6.246667,3.228451
6.248333,3.229589
6.25,3.23076
6.251667,3.233572
6.253333,3.236976
6.255,3.239811
6.256667,3.24181
6.258333,3.242718
6.26,3.243303
6.261667,3.241353
6.263333,3.239248
6.265,3.238566
6.266667,3.236434
6.268333,3.235431
6.27,3.234517
6.271667,3.234402
6.273333,3.234923
6.275,3.234742
6.276667,3.235017
6.278333,3.234685
6.28,3.234348
6.281667,3.233335
6.283333,3.23156
6.285,3.23013
6.286667,3.227824
6.288333,3.225804
6.29,3.224448
6.291667,3.22235
6.293333,3.222399
6.295,3.223077
6.296667,3.222847
6.298333,3.222737
6.3,3.223416
6.301667,3.223481
6.303333,3.225204
6.305,3.227548
6.306667,3.229921
6.308333,3.232765
6.31,3.237196
6.311667,3.240119
6.313333,3.24094
6.315,3.243257
6.316667,3.244899
6.318333,3.245749
6.32,3.247198
6.321667,3.248886
6.323333,3.250009
6.325,3.251426
6.326667,3.253084
6.328333,3.252246
6.33,3.249863
6.331667,3.250508
6.333333,3.251495
6.335,3.252663
6.336667,3.254335
6.338333,3.256425
6.34,3.259594
6.341667,3.261839
6.343333,3.262682
6.345,3.26348
6.346667,3.263221
6.348333,3.263841
6.35,3.263277
6.351667,3.263496
6.353333,3.263446
6.355,3.262751
6.356667,3.262848
6.358333,3.261583
6.36,3.259395
6.361667,3.259036
6.363333,3.257426
6.365,3.255583
6.366667,3.252219
6.368333,3.249987
6.37,3.24733
6.371667,3.242022
6.373333,3.242799
6.375,3.244518
6.376667,3.24543
6.378333,3.247203
6.38,3.246978
6.381667,3.245932
6.383333,3.243015
6.385,3.239085
6.386667,3.234054
6.388333,3.227586
6.39,3.227268
6.391667,3.226448
6.393333,3.224719
6.395,3.224828
6.396667,3.22432
6.398333,3.224386
6.4,3.223067
6.401667,3.221274
6.403333,3.218967
6.405,3.21718
6.406667,3.213966
6.408333,3.211637
6.41,3.207915
6.411667,3.206078
6.413333,3.203767
6.415,3.203076
6.416667,3.20201
6.418333,3.200502
6.42,3.200533
6.421667,3.200895
6.423333,3.199409
6.425,3.199211
6.426667,3.199009
6.428333,3.199958
6.43,3.200607
6.431667,3.200785
6.433333,3.199311
6.435,3.19762
6.436667,3.196601
6.438333,3.194864
6.44,3.193521
6.441667,3.193075
6.443333,3.194962
6.445,3.197795
6.446667,3.203995
6.448333,3.211472
6.45,3.221734
6.451667,3.235128
6.453333,3.25136
6.455,3.269901
6.456667,3.288774
6.458333,3.308493
6.46,3.329605
6.461667,3.350411
6.463333,3.371131
6.465,3.389997
6.466667,3.406799
6.468333,3.42129
6.47,3.431926
6.471667,3.439664
6.473333,3.443337
6.475,3.444814
6.476667,3.442993
6.478333,3.437728
6.48,3.428206
6.481667,3.417034
6.483333,3.404878
6.485,3.393307
6.486667,3.380935
6.488333,3.369792
6.49,3.356884
6.491667,3.346362
6.493333,3.33512
6.495,3.323894
6.496667,3.311641
6.498333,3.300528
6.5,3.290273
6.501667,3.28172
6.503333,3.272835
6.505,3.263557
6.506667,3.254443
6.508333,3.248318
6.51,3.242377
6.511667,3.237817
6.513333,3.233823
6.515,3.231449
6.516667,3.229795
6.518333,3.22921
6.52,3.228996
6.521667,3.229774
6.523333,3.231894
6.525,3.23399
6.526667,3.235947
6.528333,3.238733
6.53,3.241749
6.531667,3.243365
6.533333,3.245169
6.535,3.246806
6.536667,3.247148
6.538333,3.247098
6.54,3.244497
6.541667,3.241218
6.543333,3.237444
6.545,3.234831
6.546667,3.234984
6.548333,3.234579
6.55,3.237044
6.551667,3.239856
6.553333,3.244806
6.555,3.251407
6.556667,3.254929
6.558333,3.259008
6.56,3.262569
6.561667,3.266442
6.563333,3.271297
6.565,3.273619
6.566667,3.276335
6.568333,3.27901
6.57,3.282031
6.571667,3.284315
6.573333,3.283381
6.575,3.283722
6.576667,3.283549
6.578333,3.282488
6.58,3.279613
6.581667,3.276607
6.583333,3.275794
6.585,3.278003
6.586667,3.277995
6.588333,3.27867
6.59,3.280945
6.591667,3.287537
6.593333,3.296036
6.595,3.308059
6.596667,3.325999
6.598333,3.350549
6.6,3.382689
6.601667,3.424079
6.603333,3.468733
6.605,3.517262
6.606667,3.567684
6.608333,3.619359
6.61,3.669411
6.611667,3.715622
6.613333,3.758356
6.615,3.79283
6.616667,3.821109
6.618333,3.842875
6.62,3.854963
6.621667,3.857802
6.623333,3.851062
6.625,3.837512
6.626667,3.814719
6.628333,3.784646
6.63,3.749755
6.631667,3.711409
6.633333,3.670314
6.635,3.628772
6.636667,3.589071
6.638333,3.552338
6.64,3.518584
6.641667,3.491377
6.643333,3.464412
6.645,3.440765
6.646667,3.420211
6.648333,3.403401
6.65,3.385431
6.651667,3.368649
6.653333,3.353356
6.655,3.340953
6.656667,3.329733
6.658333,3.321499
6.66,3.311853
6.661667,3.302881
6.663333,3.295926
6.665,3.29008
6.666667,3.284826
6.668333,3.27987
6.67,3.276324
6.671667,3.274803
6.673333,3.272553
6.675,3.270772
6.676667,3.271263
6.678333,3.270667
6.68,3.270338
6.681667,3.270688
6.683333,3.273408
6.685,3.275041
6.686667,3.276816
6.688333,3.279035
6.69,3.278776
6.691667,3.278065
6.693333,3.279664
6.695,3.280508
6.696667,3.281371
6.698333,3.283386
6.7,3.287737
6.701667,3.292001
6.703333,3.298767
6.705,3.304283
6.706667,3.305621
6.708333,3.306002
6.71,3.304533
6.711667,3.300988
6.713333,3.294619
6.715,3.287678
6.716667,3.283775
6.718333,3.283192
6.72,3.288618
6.721667,3.298834
6.723333,3.3154
6.725,3.338193
6.726667,3.363622
6.728333,3.388729
6.73,3.409751
6.731667,3.426425
6.733333,3.438709
6.735,3.440691
6.736667,3.439605
6.738333,3.436874
6.74,3.428655
6.741667,3.421291
6.743333,3.414087
6.745,3.409777
6.746667,3.408966
6.748333,3.41307
6.75,3.423653
6.751667,3.438432
6.753333,3.455441
6.755,3.471716
6.756667,3.482641
6.758333,3.486777
6.76,3.482743
6.761667,3.472827
6.763333,3.455792
6.765,3.434803
6.766667,3.413591
6.768333,3.393606
6.77,3.374438
6.771667,3.356157
6.773333,3.338369
6.775,3.322357
6.776667,3.309732
6.778333,3.298379
6.78,3.287851
6.781667,3.279023
6.783333,3.271445
6.785,3.265801
6.786667,3.260453
6.788333,3.255428
6.79,3.252398
6.791667,3.251704
6.793333,3.252156
6.795,3.251856
6.796667,3.249813
6.798333,3.247849
6.8,3.248403
6.801667,3.25081
6.803333,3.255699
6.805,3.263638
6.806667,3.276871
6.808333,3.295699
6.81,3.317482
6.811667,3.341542
6.813333,3.364906
6.815,3.388506
6.816667,3.409876
6.818333,3.427884
6.82,3.441724
6.821667,3.450022
6.823333,3.454252
6.825,3.454273
6.826667,3.451982
6.828333,3.447236
6.83,3.440828
6.831667,3.433537
6.833333,3.425249
6.835,3.417149
6.836667,3.406765
6.838333,3.39197
6.84,3.376907
6.841667,3.359566
6.843333,3.34566
6.845,3.331241
6.846667,3.318505
6.848333,3.307587
6.85,3.298585
6.851667,3.291973
6.853333,3.287025
6.855,3.282284
6.856667,3.281244
6.858333,3.280923
6.86,3.285105
6.861667,3.289547
6.863333,3.295141
6.865,3.29975
6.866667,3.303627
6.868333,3.307429
6.87,3.310041
6.871667,3.310566
6.873333,3.310211
6.875,3.309753
6.876667,3.309094
6.878333,3.308069
6.88,3.30674
6.881667,3.313208
6.883333,3.306187
6.885,3.312582
6.886667,3.322995
6.888333,3.337713
6.89,3.35856
6.891667,3.387995
6.893333,3.424295
6.895,3.468734
6.896667,3.518829
6.898333,3.570964
6.9,3.624665
6.901667,3.678483
6.903333,3.722671
6.905,3.75687
6.906667,3.778829
6.908333,3.788516
6.91,3.784165
6.911667,3.768322
6.913333,3.743341
6.915,3.710614
6.916667,3.674677
6.918333,3.63722
6.92,3.597351
6.921667,3.56086
6.923333,3.528407
6.925,3.499842
6.926667,3.474312
6.928333,3.45111
6.93,3.435851
6.931667,3.42691
6.933333,3.422846
6.935,3.424933
6.936667,3.432683
6.938333,3.445617
6.94,3.461881
6.941667,3.479118
6.943333,3.497173
6.945,3.511358
6.946667,3.527073
6.948333,3.538827
6.95,3.548429
6.951667,3.557096
6.953333,3.565973
6.955,3.575073
6.956667,3.586033
6.958333,3.600882
6.96,3.619733
6.961667,3.643723
6.963333,3.675329
6.965,3.708487
6.966667,3.743691
6.968333,3.781515
6.97,3.818074
6.971667,3.850086
6.973333,3.876809
6.975,3.895515
6.976667,3.904973
6.978333,3.905056
6.98,3.893862
6.981667,3.870954
6.983333,3.839744
6.985,3.804506
6.986667,3.765805
6.988333,3.725139
6.99,3.687746
6.991667,3.65585
6.993333,3.631338
6.995,3.612661
6.996667,3.600647
