"Index","ExpType","ExpType2","Treatment","UniqueID","Treatment_Rep","Replicate","Organism","Cultivation","Experimentor","Temp","RPM","pH","DO","Volume_mL","Media","Energy_Source","GrowthRate","DoublingTime","r","SacrificeOD","IncubationHours","InoculationDate","ExpName","Substrate_d2H","Water_d2H","Water_d2H_error","n_analyses","BP0_relAbun_mean","BP1_relAbun_mean","BP2_relAbun_mean","BP3_relAbun_mean","BP0_relAbun_error","BP1_relAbun_error","BP2_relAbun_error","BP3_relAbun_error","BP0_d2H_mean","BP1_d2H_mean","BP2_d2H_mean","BP3_d2H_mean","BP0_d2H_error","BP1_d2H_error","BP2_d2H_error","BP3_d2H_error","RingIndex_GDGT","GDGT0_RelAbun","GDGT1_RelAbun","GDGT2_RelAbun","GDGT3_RelAbun","GDGT4_RelAbun","GDGT5_RelAbun","GDGT6_RelAbun","GDGT7_RelAbun","GDGT8_RelAbun","pch","Col","d2H_wt_mean","d2H_wt_mean_sd","BP0_eps_LW_mean","BP0_eps_LW_error","BP1_eps_LW_mean","BP1_eps_LW_error","BP2_eps_LW_mean","BP2_eps_LW_error","BP3_eps_LW_mean","BP3_eps_LW_error","EpsLW_wt_mean","Wt_mean_Eps_sd","RingIndex_BP","RingIndex_BP_error","RingDiff_BP1","RingDiff_BP2","RingDiff_BP3","RingDiff_all","RingDiff_BP1_error","RingDiff_BP2_error","RingDiff_BP3_error","RingDiff_all_error","RingEnrichBP1","RingEnrichBP2","RingEnrichBP3","Col_exp","pch_exp"
51,"Enviro","DO","DO_0.2","Saci_70_3_0.2_Rep1","DO_0.2_Rep1","Rep1","Saci","Fed-Batch","AC",70,200,3,0.2,300,"Brock","Sucrose",0.01612,43.0020120891707,0.99162,0.078,187.081806666719,20190116,"Saci O2 Sparge Experiments",-93,-50.2576018339423,0.1,3,0.103752362400823,0.262053559373232,0.539617155007779,0.0945769232181659,0.024657606659994,0.0610197734305676,0.11533335613693,0.020514789728137,-242.81027556199,-279.717882782486,-237.135498023319,-224.275708253651,3.52440605925828,10.3841328734776,5.22421095399141,5.84273093957113,3.171889576,1.8340592,5.3178365,15.7666239,33.0455544,39.1648152,4.6847155,0.1863953,0,0,21,"black",-247.666895742148,6.89247715342821,-202.742000462299,3.71470325679226,-241.602650773124,10.9347972819476,-196.766930222591,5.50326104726944,-183.226637829095,6.15431520175837,-207.855618838751,6.89320254384926,1.62501863904329,0.246410743026875,-38.8606503108255,23.9116278351938,16.4111399144148,9.69933751713444,11.5485415478887,6.34186288407803,3.5475257190295,3.13650586279653,-36.907607220496,5.67477753867101,18.534567308339,"cyan2",24
52,"Enviro","DO","DO_0.2","Saci_70_3_0.2_Rep2","DO_0.2_Rep2","Rep2","Saci","Fed-Batch","AC",70,200,3,0.2,300,"Brock","Sucrose",0.02521,27.4901608131229,0.98507,0.081,187.081806666719,20190116,"Saci O2 Sparge Experiments",-93,-40.1519348095082,0.1,3,0.104830778321215,0.308605248473493,0.501382623932377,0.0851813492729151,0.00514837690113636,0.0146058121416598,0.0246215009889328,0.00377475109302479,-245.30530788578,-266.905202285271,-240.355116757742,-236.98525821529,2.89005026408221,2.83652522730256,2.82066135927056,3.43471600489612,3.093214964,2.3868326,6.8080155,17.4558829,30.0990224,39.0921592,4.0125133,0.1455741,0,0,21,"black",-248.780495790244,2.89010957923855,-213.735257189435,3.01539943474993,-236.238708707259,2.9594634317228,-208.577991880935,2.94327729500916,-205.067166923672,3.58222697511621,-217.355817599456,2.89183909995117,1.56691454415699,0.0525969742897646,-22.5034515178235,15.119674740287,7.3286530903262,4.95364287228817,4.22505118960643,2.33774377261616,1.80520956400364,1.4344280363938,-21.599894399491,4.950191128038,8.32004967048999,"cyan2",24
53,"Enviro","DO","DO_0.2","Saci_70_3_0.2_Rep3","DO_0.2_Rep3","Rep3","Saci","Fed-Batch","AC",70,200,3,0.2,300,"Brock","Sucrose",0.02418,28.6662108361825,0.9946,0.073,187.081806666719,20190116,"Saci O2 Sparge Experiments",-93,-50.1645086846195,0.172,3,0.0735414089019439,0.212528515804164,0.618811492486375,0.0951185828075177,0.000907393471581076,0.00414913320796724,0.0140088637691408,0.00290464342963731,NA,-277.537963603762,-215.640697777526,NA,NA,17.0514769869857,2.82752870460354,NA,3.177026943,1.7209816,5.2548372,16.1760793,32.0567799,40.2208202,4.3809322,0.1895695,0,0,21,"black",NA,NA,NA,NA,-239.381931921984,17.9527462489329,-174.215630607514,2.9819353528404,NA,NA,NA,NA,1.73550724919947,0.0296334429971756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cyan2",24
54,"Enviro","DO","DO_0.5","Saci_70_3_0.5_Rep1","DO_0.5_Rep1","Rep1","Saci","Fed-Batch","AC",70,200,3,0.5,300,"Brock","Sucrose",0.06592,10.5146659570635,0.99805,0.102,93.606320000026,20190222,"Saci O2 Sparge Experiments",-93,-55.34901495,0.109,5,0.0983352628285976,0.344607478868926,0.531729007180475,0.0253282511220014,0.0280982807342549,0.101800951197148,0.150399903062154,0.00760047605233537,-254.854736076981,-244.868851622888,-242.22507792174,NA,5.04512391010835,5.7240014213807,4.80132622267338,NA,2.623038504,4.0070822,11.7814389,27.7157304,32.3668106,22.7207771,1.3415549,0.066606,0,0,21,"black",-244.43403180438,5.10481940891436,-211.195165499585,5.34333841718715,-200.624187845267,6.06174532867357,-197.825510087039,5.0854823562173,NA,NA,-200.163891052706,5.10598298054633,1.48405024659588,0.318376918376732,10.570977654318,4.7417527322508,NA,6.68482770627321,8.08059539082882,4.36492371880912,NA,NA,9.985884454093,12.629658155241,NA,"cyan2",24
55,"Enviro","DO","DO_0.5","Saci_70_3_0.5_Rep2","DO_0.5_Rep2","Rep2","Saci","Fed-Batch","AC",70,200,3,0.5,300,"Brock","Sucrose",0.03602,19.2426517378811,0.99353,0.104,93.606320000026,20190222,"Saci O2 Sparge Experiments",-93,-55.58749186,0.147,2,0.102045366162767,0.344226660450019,0.532863474680195,0.0208644987070187,0.0189096003190674,0.0721437740308498,0.100458059384295,0.00394761468091717,NA,-234.786337240878,-238.076390289379,NA,NA,3.50130310566359,3.47748472972786,NA,2.701028629,3.1191862,10.5426344,27.6303046,31.98143,25.3460311,1.3112767,0.0691369,0,0,21,"black",NA,NA,NA,NA,-189.746370189237,3.71135617562335,-193.230073571121,3.68612875119609,NA,NA,NA,NA,1.47254710593147,0.213804265316362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cyan2",24
56,"Enviro","DO","DO_0.5","Saci_70_3_0.5_Rep3","DO_0.5_Rep3","Rep3","Saci","Fed-Batch","AC",70,200,3,0.5,300,"Brock","Sucrose",0.05441,12.7393759481166,0.99472,0.106,93.606320000026,20190222,"Saci O2 Sparge Experiments",-93,-55.7601883,0.246,2,0.141810406480843,0.380999360914555,0.477190232604601,NA,0.0118202877395437,0.0305519510876274,0.0258504934077209,NA,NA,-231.55144558194,-235.626147552994,NA,NA,4.01509353976068,7.47756497282307,NA,2.482663136,4.2859066,14.1678925,31.2660567,30.7446945,18.4065209,1.0674322,0.0614966,0,0,21,"black",NA,NA,NA,NA,-186.172257411438,4.25568935428651,-190.487582735116,7.92099359937979,NA,NA,NA,NA,1.33537982612376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cyan2",24
57,"Enviro","DO","DO_2","Saci_70_3_2_Rep1","DO_2_Rep1","Rep1","Saci","Fed-Batch","AC",70,200,3,2,300,"Brock","Sucrose",0.08537,8.11917497245617,0.99322,0.24,76.3357797222005,20181218,"Saci O2 Sparge Experiments",-93,-51.9234056221126,0.1,3,0.251344702208281,0.438608754065958,0.302343815237562,0.00770272848819924,0.0755442640035489,0.137301571953234,0.0969794645878251,0.000160516274103742,-237.108069596126,-239.38689568961,-236.751412900754,NA,2.86651877449793,2.84289143196189,3.36091328519518,NA,1.614764399,14.8603432,30.3216425,37.5468945,13.3178994,3.6803752,0.25126144,0.0215837,0,0,21,"black",-238.006671409501,3.00502497704839,-195.326690978516,3.02827103428143,-197.730321768473,3.00336058380101,-194.950501230254,3.54904636671553,NA,NA,-196.274506607236,3.00668839633985,1.06640457000568,0.237638422308057,-2.40363078995665,1.48395770617476,NA,0.188094874130954,4.26504399196509,2.60083850911429,NA,NA,-2.27882609348399,0.35665669537201,NA,"cyan2",24
58,"Enviro","DO","DO_2","Saci_70_3_2_Rep2","DO_2_Rep2","Rep2","Saci","Fed-Batch","AC",70,200,3,2,300,"Brock","Sucrose",0.1004,6.903926305083,0.99546,0.253,76.3357797222005,20181218,"Saci O2 Sparge Experiments",-93,-49.1033112737811,0.2,3,0.257599635369051,0.439710625585492,0.293292434142718,0.00939730490273988,0.0425031959358619,0.0803255772789814,0.059274898545942,0.00222112014630176,-244.677646464032,-243.749729220453,-243.603363626566,NA,2.8574734918717,2.83521105511856,3.61726930602446,NA,1.5166849262,17.7640229,31.6456121,34.9659333,12.5498742,2.9394771,0.12699906,0.00808127,0,0,21,"black",-243.947692766548,3.07850857593191,-205.67358947504,3.00967107004331,-204.69775555472,2.98630689581984,-204.543831794523,3.80773869234759,NA,NA,-204.905941731454,3.0849983876959,1.05448740857915,0.143354989895948,0.975833920319985,0.35940130022729,NA,0.564878840258189,4.23982886752246,2.70675780685982,NA,NA,0.927917243579003,1.074282837466,NA,"cyan2",24
59,"Enviro","DO","DO_2","Saci_70_3_2_Rep3","DO_2_Rep3","Rep3","Saci","Fed-Batch","AC",70,200,3,2,300,"Brock","Sucrose",0.09559,7.25124162415969,0.99687,0.213,76.3357797222005,20181218,"Saci O2 Sparge Experiments",-93,-52.856946850525,0.2,4,0.230406543905023,0.431682665705216,0.322651794439594,0.0152589959501672,0.0894288177699641,0.169121307323825,0.128771680630865,0.000584920556036708,-247.692574393087,-242.132243008464,-244.149898291447,NA,2.84750835464666,2.91828820505909,2.83634678699587,NA,1.565615641,16.0979527,30.6483237,36.9457533,13.3416533,2.8414481,0.11823196,0.00663695,0,0,21,"black",-244.094319155356,2.85442839480205,-205.70876478974,3.011093345445,-199.838129550287,3.08577760197785,-201.968383556029,2.99937152611893,NA,NA,-201.909702730671,2.86142647311655,1.12276324243491,0.308113094024615,5.87063523945352,-0.130031694443495,NA,1.87019061685551,4.31146222804414,2.39968649682777,NA,NA,5.560331384623,3.54267610164001,NA,"cyan2",24
60,"Enviro","DO","DO_20","Saci_70_3_20_Rep1","DO_20_Rep1","Rep1","Saci","Fed-Batch","AC",70,200,3,20,300,"Brock","Sucrose",0.17596,3.93926630712106,0.99764,0.281,74.2851011110677,20181210,"Saci O2 Sparge Experiments",-93,-51.8762755040299,0.1,4,0.191244087516959,0.412118748087218,0.383723787051091,0.0129133773447313,0.078029136563952,0.171826185421261,0.161205092152217,0.00434267557895623,-242.653203241497,-238.104260398775,-242.142088706065,NA,2.85666960263241,5.39017681854675,4.5487548476045,NA,1.8935266911,8.880599,24.8442083,39.9450359,20.8730477,5.2936552,0.15609847,0.00735546,0,0,21,"black",-240.555280539389,4.63498842115669,-201.215224140589,3.01767921333463,-196.417387397141,5.68762509968874,-200.676144142667,4.80060045475662,NA,NA,-199.002514292807,4.63606704699755,1.21830645422359,0.36557118926455,4.79783674344836,-1.99460837328201,NA,0.269539998961449,6.43859201294827,3.98223813140987,NA,NA,4.548942842722,0.511114535432,NA,"cyan2",24
