"Index","ExpType","ExpType2","Treatment","UniqueID","Treatment_Rep","Replicate","Organism","Cultivation","Experimentor","Temp","RPM","pH","DO","Volume_mL","Media","Energy_Source","GrowthRate","DoublingTime","r","SacrificeOD","IncubationHours","InoculationDate","ExpName","Substrate_d2H","Water_d2H","Water_d2H_error","n_analyses","BP0_relAbun_mean","BP1_relAbun_mean","BP2_relAbun_mean","BP3_relAbun_mean","BP0_relAbun_error","BP1_relAbun_error","BP2_relAbun_error","BP3_relAbun_error","BP0_d2H_mean","BP1_d2H_mean","BP2_d2H_mean","BP3_d2H_mean","BP0_d2H_error","BP1_d2H_error","BP2_d2H_error","BP3_d2H_error","RingIndex_GDGT","GDGT0_RelAbun","GDGT1_RelAbun","GDGT2_RelAbun","GDGT3_RelAbun","GDGT4_RelAbun","GDGT5_RelAbun","GDGT6_RelAbun","GDGT7_RelAbun","GDGT8_RelAbun","pch","Col","d2H_wt_mean","d2H_wt_mean_sd","BP0_eps_LW_mean","BP0_eps_LW_error","BP1_eps_LW_mean","BP1_eps_LW_error","BP2_eps_LW_mean","BP2_eps_LW_error","BP3_eps_LW_mean","BP3_eps_LW_error","EpsLW_wt_mean","Wt_mean_Eps_sd","RingIndex_BP","RingIndex_BP_error","RingDiff_BP1","RingDiff_BP2","RingDiff_BP3","RingDiff_all","RingDiff_BP1_error","RingDiff_BP2_error","RingDiff_BP3_error","RingDiff_all_error","RingEnrichBP1","RingEnrichBP2","RingEnrichBP3","Col_exp","pch_exp"
1,"Enviro","Temp","Temp_65","Saci_65_200_3_Rep1","Temp_65_Rep1","Rep1","Saci","Batch","AC",65,200,3,NA,125,"Brock","Sucrose",0.07407,9.35847393527665,0.99182,1.2698,174.385277777778,20171012,"Saci Enviro Experiments",-93,-47.6340775590872,0.1,3,0.0560745559277261,0.148302546074906,0.764241415964223,0.0313814820331451,0.00280196009459578,0.0062002481468884,0.00213025170097719,0.00169597538081023,-233.804575867287,-231.774239601664,-243.343197535965,NA,17.7669794113815,4.52194710107795,2.99883119700098,NA,3.5899824424616,0.3463543,1.4181067,9.4307281,21.6160155,62.2468223,4.7770028,0.1511881,0.0130203,0.000761827,21,"black",-241.019702940747,5.25415217411735,-195.482108212193,18.656387818485,-193.350221489053,4.75114026203484,-205.497819026615,3.15323977931182,NA,NA,-203.05811119954,5.2551037162726,1.77092982410279,0.00908195786996876,2.13188672314024,-8.57772647238627,NA,-5.00785540721077,19.2518606950924,5.52306949938734,NA,NA,2.03033626562302,-9.53862166867799,NA,"red",21
2,"Enviro","Temp","Temp_65","Saci_65_200_3_Rep2","Temp_65_Rep2","Rep2","Saci","Batch","AC",65,200,3,NA,125,"Brock","Sucrose",0.11349,6.10745321955403,0.6849,1.51,174.385277777778,20171012,"Saci Enviro Experiments",-93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6982898523392,0.2540993,1.2978901,8.1901269,18.5349678,62.3780475,9.0349435,0.3075349,0.00196963,0.000420299,21,"black",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"red",21
3,"Enviro","Temp","Temp_65","Saci_65_200_3_Rep3","Temp_65_Rep3","Rep3","Saci","Batch","AC",65,200,3,NA,125,"Brock","Sucrose",0.07555,9.17424521766272,0.98068,1.2282,174.385277777778,20171012,"Saci Enviro Experiments",-93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5508768405456,0.3249856,1.6167338,11.1925239,23.5300566,56.4182079,6.6825701,0.2320829,0.00250376,0.000335432,21,"black",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"red",21
4,"Enviro","Temp","Temp_65","Saci_65_200_3_Rep4","Temp_65_Rep4","Rep4","Saci","Batch","AC",65,200,3,NA,125,"Brock","Sucrose",0.07815,8.86915368463227,0.85227,1.391,174.385277777778,20171012,"Saci Enviro Experiments",-93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6033747708864,0.2861254,1.4324278,10.0784204,22.1303915,58.2617743,7.5543859,0.2546739,0.00141905,0.000381733,21,"black",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"red",21
5,"Enviro","Temp","Temp_65","Saci_65_200_3_Rep5","Temp_65_Rep5","Rep5","Saci","Batch","AC",65,200,3,NA,125,"Brock","Sucrose",0.10425,6.64894088558401,0.77009,1.4294,174.385277777778,20171012,"Saci Enviro Experiments",-93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5966391301232,0.2674206,1.4614961,10.5043453,22.3783464,57.1583143,7.9558085,0.270916,0.00298023,0.000372529,21,"black",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"red",21
6,"Enviro","Temp","Temp_70","Saci_70_200_3_Rep1","Temp_70_Rep1","Rep1","Saci","Batch","AC",70,200,3,NA,125,"Brock","Sucrose",0.10437,6.64137963666786,0.99527,2.0494,101.4275,20170830,"Saci Enviro Experiments",-93,-55.045542145056,0.1,4,0.116041841798385,0.262213078822726,0.610245720923469,0.0114993584554198,0.0422609042754155,0.0348611706439167,0.0736298092048216,0.00349226571451072,-220.561620543168,-224.886396132737,-225.49032825019,NA,8.39104251837905,4.85002693672471,2.96228244953333,NA,3.8624453511592,0.2933157,0.8830019,5.8800226,17.1488598,57.9713886,16.6730594,1.1436506,0.00601409,0.000687324,21,"black",-224.751537409564,4.43796563751484,-175.15773064221,8.88155395991063,-179.734433311444,5.13548633756659,-180.373545717796,3.13963764644822,NA,NA,-179.59171879007,4.43909213688593,1.51720259603592,0.151691989607905,-4.57670266923358,-1.6235099720727,NA,-2.607907537793,10.2593967008854,3.82149760557879,NA,NA,-4.32477558956899,-4.928707707022,NA,"red",21
7,"Enviro","Temp","Temp_70","Saci_70_200_3_Rep2","Temp_70_Rep2","Rep2","Saci","Batch","AC",70,200,3,NA,125,"Brock","Sucrose",0.10052,6.89530777762844,0.99988,2.0198,101.4275,20170830,"Saci Enviro Experiments",-93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.766916994776,0.2792269,1.2383955,8.3404496,17.4291681,57.2998751,15.2985572,0,0.1132179,0.00110972,21,"black",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"red",21
8,"Enviro","Temp","Temp_70","Saci_70_200_3_Rep3","Temp_70_Rep3","Rep3","Saci","Batch","AC",70,200,3,NA,125,"Brock","Sucrose",0.10577,6.55334550848726,0.99928,2.0794,101.4275,20170830,"Saci Enviro Experiments",-93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.676166942408,0.3945665,1.6686507,10.6293468,22.2249852,48.6154197,15.2283426,1.2279004,0.00617588,0.00461226,21,"black",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"red",21
9,"Enviro","Temp","Temp_70","Saci_70_200_3_Rep4","Temp_70_Rep4","Rep4","Saci","Batch","AC",70,200,3,NA,125,"Brock","Sucrose",0.09801,7.07196221272929,0.99992,1.9282,101.4275,20170830,"Saci Enviro Experiments",-93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6922095242672,0.2997133,1.2380348,9.0117678,21.6784283,54.0459874,13.6103932,0.1146837,0,0.000991584,21,"black",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"red",21
10,"Enviro","Temp","Temp_70","Saci_70_200_3_Rep5","Temp_70_Rep5","Rep5","Saci","Batch","AC",70,200,3,NA,125,"Brock","Sucrose",0.08485,8.16898627691641,0.99806,1.739,101.4275,20170830,"Saci Enviro Experiments",-93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6979455820928,0.3244825,1.4545504,9.6771264,20.7991523,52.2295369,15.4666094,0,0.0481532,0.000388866,21,"black",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"red",21
11,"Enviro","Temp","Temp_75","Saci_75_200_3_Rep1","Temp_75_Rep1","Rep1","Saci","Batch","AC",75,200,3,NA,125,"Brock","Sucrose",0.18276,3.79276594689709,0.98357,1.5422,69.6083333333333,20170821,"Saci Enviro Experiments",-93,-54.1827128288745,0.1,5,0.0573212112131982,0.132392257187865,0.595661572426007,0.21462495917293,0.00588122877289464,0.00731650642804469,0.024027934792021,0.0168965343944984,-261.972186577378,-256.194525994459,-267.952377892508,-268.414535667101,4.31916733143295,4.46485791736938,5.2987984452201,3.76462480710513,4.12562541668,0.3407804,1.2791213,7.9183431,12.2960604,39.5586945,31.3613112,6.8445155,0.3494266,0.0517471,21,"black",-266.152128124078,4.84510995603358,-219.693038567721,4.56957797020535,-213.58439511059,4.72356280410346,-226.015815066147,5.60473901173342,-226.504448315783,3.98364676784076,-224.112435002314,4.84614181448043,1.96759027955867,0.0702305755258369,6.1086434571308,-7.79640410238435,-3.07304325608457,-3.1172157526486,6.57214488505052,4.08652298744955,2.60152305603157,2.11431825782932,5.777660582919,-5.98019131513001,-6.442349089723,"red",21
12,"Enviro","Temp","Temp_75","Saci_75_200_3_Rep2","Temp_75_Rep2","Rep2","Saci","Batch","AC",75,200,3,NA,125,"Brock","Sucrose",0.16526,4.19432819894137,0.99216,1.4694,69.6083333333333,20170821,"Saci Enviro Experiments",-93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.19756759028,0.279004,1.0407364,6.7296198,12.7057734,37.9185767,32.517776,8.3489238,0.3968159,0.0627741,21,"black",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"red",21
13,"Enviro","Temp","Temp_75","Saci_75_200_3_Rep3","Temp_75_Rep3","Rep3","Saci","Batch","AC",75,200,3,NA,125,"Brock","Sucrose",0.13257,5.22842953744587,0.99935,1.5868,69.6083333333333,20170821,"Saci Enviro Experiments",-93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.17652544784,0.3174005,1.2639437,7.190373,12.186208,37.8480057,33.1508432,7.6078485,0.3787675,0.0566098,21,"black",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"red",21
14,"Enviro","Temp","Temp_75","Saci_75_200_3_Rep4","Temp_75_Rep4","Rep4","Saci","Batch","AC",75,200,3,NA,125,"Brock","Sucrose",0.17682,3.92009400967621,0.98082,2.0018,69.6083333333333,20170821,"Saci Enviro Experiments",-93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.558664942556,0.5137445,2.2968227,16.7562517,27.1137883,31.4753667,18.2369781,3.6006586,0.00361029,0.00277907,21,"black",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"red",21
15,"Enviro","Temp","Temp_75","Saci_75_200_3_Rep5","Temp_75_Rep5","Rep5","Saci","Batch","AC",75,200,3,NA,125,"Brock","Sucrose",0.14555,4.76214678441489,0.99287,1.4472,69.6083333333333,20170821,"Saci Enviro Experiments",-93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.15128072736,0.3024249,1.1148175,6.7076981,12.6451957,40.5814958,31.6491148,6.517166,0.426178,0.0559092,21,"black",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"red",21
16,"Enviro","Temp","Temp_80","Saci_80_200_3_Rep1","Temp_80_Rep1","Rep1","Saci","Batch","AC",80,200,3,NA,125,"Brock","Sucrose",0.19675,3.52301514033279,0.97672,1.669,69.6283333333333,20170821,"Saci Enviro Experiments",-93,-52.6947973081652,0.1,5,0.0744273060774897,0.138650656559498,0.458528186935334,0.328393850427679,0.00576946890412057,0.0016333371363458,0.00836535143084401,0.00532777419237411,-252.655528344205,-248.310326668707,-262.245435027919,-260.14285022465,12.7732140725359,6.49116901415244,4.64021312571323,2.71435312886536,4.45227679552,0.3782727,1.1754375,6.7796977,11.1236818,23.0305767,40.0665671,17.1567562,0.2460984,0.0429119,21,"black",-258.909096265287,5.50251174434446,-211.083746260273,13.484765544394,-206.496838405074,6.85429438982992,-221.207101073974,4.90108843468337,-218.987557892648,2.87008230009655,-217.685175138012,5.50342034526245,2.0408885817132,0.0231959222505036,4.586907855199,-9.8859700378749,-2.22014014663984,-3.64090877674505,15.1268057887225,5.53323846935514,2.73216046530752,3.08250115749863,4.345201675498,-9.58990668371396,-7.48732188044497,"red",21
17,"Enviro","Temp","Temp_80","Saci_80_200_3_Rep2","Temp_80_Rep2","Rep2","Saci","Batch","AC",80,200,3,NA,125,"Brock","Sucrose",0.18171,3.81455630636763,0.99245,1.5748,69.6283333333333,20170821,"Saci Enviro Experiments",-93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.54145349788,0.3768373,0.9840246,5.8821091,9.2645527,23.2235334,40.7467938,19.4788721,0.014256,0.0290211,21,"black",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"red",21
18,"Enviro","Temp","Temp_80","Saci_80_200_3_Rep3","Temp_80_Rep3","Rep3","Saci","Batch","AC",80,200,3,NA,125,"Brock","Sucrose",0.17304,4.00580748043293,0.9888,1.5048,69.6283333333333,20170821,"Saci Enviro Experiments",-93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.56068075112,0.3911568,1.0471459,5.728597,10.2192748,21.1378765,40.4665052,20.7119377,0.2494873,0.0480189,21,"black",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"red",21
19,"Enviro","Temp","Temp_80","Saci_80_200_3_Rep4","Temp_80_Rep4","Rep4","Saci","Batch","AC",80,200,3,NA,125,"Brock","Sucrose",0.19128,3.6237423582598,0.98453,1.4982,69.6283333333333,20170821,"Saci Enviro Experiments",-93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.428449244,0.4840233,1.2961961,6.812781,12.4329198,23.9852021,35.2496683,19.7392095,0,0,21,"black",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"red",21
20,"Enviro","Temp","Temp_80","Saci_80_200_3_Rep5","Temp_80_Rep5","Rep5","Saci","Batch","AC",80,200,3,NA,125,"Brock","Sucrose",0.18765,3.69386749682856,0.98942,2.0166,69.6283333333333,20170821,"Saci Enviro Experiments",-93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.44258836132,0.5098768,2.9101487,0.4318545,12.8613592,30.0456919,37.7382296,15.4010587,0.0885102,0.0132704,21,"black",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"red",21
21,"Enviro","pH","pH_2","Saci_70_200_2_Rep1","pH_2_Rep1","Rep1","Saci","Batch","AC",70,200,2,NA,125,"Brock","Sucrose",0.1217,5.6956788319618,0.99215,0.749,97.25,20180413,"Saci Enviro Experiments",-93,-59.75,0.1,1,0.18161413826726,0.307359026706737,0.360582268322238,0.150444566703765,NA,NA,NA,NA,-258.098776965725,-252.228562802408,-248.001726507523,-227.760652700018,25.3915527231947,19.1167380886991,10.7540986355757,22.4128916272349,3.37068638,1.1703092,5.1391611,22.6467512,26.7485067,21.8966453,15.6329521,6.7206081,0.0450663,0,21,"black",-248.089490336586,18.6196686539297,-210.953232614438,27.0056294747958,-204.709984368421,20.3322518336497,-200.214545607576,11.4387537094818,-178.687213719775,23.837802237387,-200.307886558454,18.6199371852359,1.47985726346251,NA,6.24324824601641,4.93239113213838,15.0980189478929,10.233681225662,33.8039123173178,13.7775435808798,10.9983224515214,9.39247420464111,5.870214163317,10.097050458202,30.338124265707,"darkgoldenrod1",22
22,"Enviro","pH","pH_2","Saci_70_200_2_Rep2","pH_2_Rep2","Rep2","Saci","Batch","AC",70,200,2,NA,125,"Brock","Sucrose",0.12276,5.64643607943598,0.99562,0.655,97.25,20180413,"Saci Enviro Experiments",-93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.328231149,1.1965433,5.1984543,23.4380019,27.1715593,21.9576381,14.859207,6.1427819,0.0358143,0,21,"black",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"darkgoldenrod1",22
23,"Enviro","pH","pH_2","Saci_70_200_2_Rep3","pH_2_Rep3","Rep3","Saci","Batch","AC",70,200,2,NA,125,"Brock","Sucrose",0.12589,5.50578359901649,0.99499,0.691,97.25,20180413,"Saci Enviro Experiments",-93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.314228348,1.4245555,5.9360999,23.3921622,25.9352436,21.9756737,15.0636245,6.2326211,0.0400194,0,21,"black",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"darkgoldenrod1",22
24,"Enviro","pH","pH_2","Saci_70_200_2_Rep4","pH_2_Rep4","Rep4","Saci","Batch","AC",70,200,2,NA,125,"Brock","Sucrose",0.10662,6.5012317531924,0.99222,0.72,97.25,20180413,"Saci Enviro Experiments",-93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.474391219,1.0945001,4.6512376,20.5914378,25.5043785,23.2955994,17.3206029,7.4892455,0.0529983,0,21,"black",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"darkgoldenrod1",22
25,"Enviro","pH","pH_2","Saci_70_200_2_Rep5","pH_2_Rep5","Rep5","Saci","Batch","AC",70,200,2,NA,125,"Brock","Sucrose",0.12805,5.41300278347301,0.99623,0.722,97.25,20180413,"Saci Enviro Experiments",-93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.359661244,1.0762159,4.8339558,23.3119771,26.836954,21.9820992,15.7218448,6.1989401,0.038013,0,21,"black",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"darkgoldenrod1",22
