"Index","ExpType","ExpType2","Treatment","UniqueID","Treatment_Rep","Replicate","Organism","Cultivation","Experimentor","Temp","RPM","pH","DO","Volume_mL","Media","Energy_Source","GrowthRate","DoublingTime","r","SacrificeOD","IncubationHours","InoculationDate","ExpName","Substrate_d2H","Water_d2H","Water_d2H_error","n_analyses","BP0_relAbun_mean","BP1_relAbun_mean","BP2_relAbun_mean","BP3_relAbun_mean","BP0_relAbun_error","BP1_relAbun_error","BP2_relAbun_error","BP3_relAbun_error","BP0_d2H_mean","BP1_d2H_mean","BP2_d2H_mean","BP3_d2H_mean","BP0_d2H_error","BP1_d2H_error","BP2_d2H_error","BP3_d2H_error","RingIndex_GDGT","GDGT0_RelAbun","GDGT1_RelAbun","GDGT2_RelAbun","GDGT3_RelAbun","GDGT4_RelAbun","GDGT5_RelAbun","GDGT6_RelAbun","GDGT7_RelAbun","GDGT8_RelAbun","pch","Col","d2H_wt_mean","d2H_wt_mean_sd","BP0_eps_LW_mean","BP0_eps_LW_error","BP1_eps_LW_mean","BP1_eps_LW_error","BP2_eps_LW_mean","BP2_eps_LW_error","BP3_eps_LW_mean","BP3_eps_LW_error","EpsLW_wt_mean","Wt_mean_Eps_sd","RingIndex_BP","RingIndex_BP_error","RingDiff_BP1","RingDiff_BP2","RingDiff_BP3","RingDiff_all","RingDiff_BP1_error","RingDiff_BP2_error","RingDiff_BP3_error","RingDiff_all_error","RingEnrichBP1","RingEnrichBP2","RingEnrichBP3","Col_exp","pch_exp"
63,"Enviro","Flux","TD_7","S.aci_BR1S16A_10h","TD_7_Rep1","Rep1","Saci","Chemostat","AZ",70,200,2.25,20,300,"Brock","Sucrose & NZ-amine",0.144927536,6.900000011,NA,0.7318,NA,20180620,"Saci Chemostat Experiment",-93,-59.8211265591341,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.09,15.4,2.01389085269092,6.61177263472308,21.034469299469,45.0860044093957,19.5252984948149,7.14803619977693,0.551946903642288,0.0424720581779826,0,0,21,"black",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"deeppink2",25
64,"Enviro","Flux","TD_7","S.aci_BR2S16A_10h","TD_7_Rep2","Rep2","Saci","Chemostat","AZ",70,200,2.25,20,300,"Brock","Sucrose & NZ-amine",0.14084507,7.100000021,NA,0.8568,NA,20180620,"Saci Chemostat Experiment",-93,-59.6438646902357,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.00878826654999,6.68952043567132,21.4122297244465,44.0933377151743,20.7462543656846,6.30361181218337,0.703564526623047,0.0514814202168056,0,0,21,"black",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"deeppink2",25
65,"Enviro","Flux","TD_7","S.aci_BR3S16A_10h","TD_7_Rep3","Rep3","Saci","Chemostat","AZ",70,200,2.25,20,300,"Brock","Sucrose & NZ-amine",0.142857143,6.999999993,NA,0.9251,NA,20180620,"Saci Chemostat Experiment",-93,-59.5971297701193,0.1,8,0.308021149030121,0.39045695490405,0.281680047477034,0.0198418485887948,0.00307864490121585,0.00533696010018983,0.00421767307205114,0.00236955486323601,-279.955558182215,-275.987734932503,-272.151314578175,-252.827796188781,6.71060468070445,4.02527076804986,4.67502414372699,18.245965377601,2.09611422547034,5.19359464940571,21.3886432691557,42.2272802031673,22.3227397514899,7.6501614210788,1.106130301457,0.111450404245563,0,0,21,"black",-275.6697293436,5.74102693202068,-234.32343242235,7.13774057044254,-230.10415218053,4.28349903096577,-226.024602366534,4.97402369303941,-205.476474536309,19.403021721041,-229.765993292494,5.74189779029432,1.0133425956245,0.0122544408248932,4.21928024182029,4.11448242095236,14.1592064270053,9.15431072745683,8.3244041467979,3.93736392414604,7.79897563745893,5.5693517997866,3.96782324971201,7.80424360403998,27.127761993434,"deeppink2",25
66,"Enviro","Flux","TD_7","S.aci_BR1S17A_10h","TD_7_Rep4","Rep4","Saci","Chemostat","AZ",70,200,2.25,20,300,"Brock","Sucrose & NZ-amine",0.144927536,6.900000011,NA,NA,NA,20180620,"Saci Chemostat Experiment",-93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.98501736917106,6.86992771733517,24.1252214806749,41.2647571151005,19.8615644528447,7.18272286348871,0.643421829594701,0.0523845409612456,0,0,21,"black",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"deeppink2",25
67,"Enviro","Flux","TD_7","S.aci_BR2S17A_10h","TD_7_Rep5","Rep5","Saci","Chemostat","AZ",70,200,2.25,20,300,"Brock","Sucrose & NZ-amine",0.14084507,7.100000021,NA,NA,NA,20180620,"Saci Chemostat Experiment",-93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.02086867147598,5.54547591758026,19.4567939090479,49.1904807318347,19.6705347959701,5.48886352315559,0.605053440120181,0.042797682291206,0,0,21,"black",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"deeppink2",25
68,"Enviro","Flux","TD_7","S.aci_BR3S17A_10h","TD_7_Rep6","Rep6","Saci","Chemostat","AZ",70,200,2.25,20,300,"Brock","Sucrose & NZ-amine",0.142857143,6.999999993,NA,NA,NA,20180620,"Saci Chemostat Experiment",-93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.12456887349238,5.34782432913362,17.9926668454945,45.4730465063291,22.5170014676458,7.46619959521894,1.11724282979666,0.0860184263814397,0,0,21,"black",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"deeppink2",25
69,"Enviro","Flux","TD_21","S.aci_BR1S19A_32h","TD_21_Rep1","Rep1","Saci","Chemostat","AZ",70,200,2.25,20,300,"Brock","Sucrose & NZ-amine",0.046948357,21.29999991,NA,0.8747,NA,20180620,"Saci Chemostat Experiment",-93,-59.1501037149725,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.05584442374595,5.18946917971691,18.9571225655445,48.4112347034142,20.8308533594716,5.79922490543163,0.757181016446366,0.0549142699747288,0,0,21,"black",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"deeppink2",25
70,"Enviro","Flux","TD_21","S.aci_BR2S19A_32h","TD_21_Rep2","Rep2","Saci","Chemostat","AZ",70,200,2.25,20,300,"Brock","Sucrose & NZ-amine",0.049019608,20.39999993,NA,0.8573,NA,20180620,"Saci Chemostat Experiment",-93,-59.7577429032941,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.23877116932704,4.4648863629977,15.8527817247846,44.157981435309,24.3860348669967,9.28844058105338,1.70274476105434,0.147130267804369,0,0,21,"black",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"deeppink2",25
71,"Enviro","Flux","TD_21","S.aci_BR3S19A_32h","TD_21_Rep3","Rep3","Saci","Chemostat","AZ",70,200,2.25,20,300,"Brock","Sucrose & NZ-amine",0.046948357,21.29999991,NA,0.9203,NA,20180620,"Saci Chemostat Experiment",-93,-59.566225747907,0.2,6,0.222784537607076,0.354544647429851,0.388202523710188,0.0344682912528845,0.00243722146846938,0.0043544636159837,0.00389926232067078,0.00430113770433855,-260.974286181864,-260.947121086585,-257.121203470595,-237.018006096951,5.58492125737321,5.24645175225365,4.74035446372794,18.3587030364143,2.62680346752935,2.28903317396827,9.71911723026962,37.4499394008119,29.0626598663089,16.9291150612235,4.14390072728547,0.406234540132298,0,0,21,"black",-258.643146470855,6.08674225121523,-214.16506504579,5.94101617248214,-214.136179337915,5.58126010809977,-210.067931556158,5.04340289186215,-188.6914158205,19.5222891741419,-211.686273051252,6.09002719474459,1.23435456860888,0.0156931962942443,0.0288857078751903,3.05840726328628,14.196704634265,8.12263568954044,8.1514500278147,4.23583739055053,7.85911806022671,5.60743805334072,0.0271650952789741,3.853082711269,23.956280084913,"deeppink2",25
72,"Enviro","Flux","TD_21","S.aci_BR1S20A_32h","TD_21_Rep4","Rep4","Saci","Chemostat","AZ",70,200,2.25,20,300,"Brock","Sucrose & NZ-amine",0.046948357,21.29999991,NA,NA,NA,20180620,"Saci Chemostat Experiment",-93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.05736756859314,5.24769747940188,18.6580491085335,48.6748378580008,20.8295608666623,5.76544408978747,0.767890510042099,0.0565200875718718,0,0,21,"black",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"deeppink2",25
