"Index","ExpType","WaterLabel","ExpType2","Treatment","UniqueID","Treatment_Rep","Replicate","Organism","Cultivation","Experimentor","Temp","RPM","pH","DO","Volume_mL","Media","Energy_Source","GrowthRate","DoublingTime","r","Intercept","StartingObs","NumberObs","SacrificeOD","IncubationHours","InoculationDate","ExpName","Substrate_d2H","Water_d2H","Water_d2H_error","n_analyses","BP0_relAbun_mean","BP1_relAbun_mean","BP2_relAbun_mean","BP3_relAbun_mean","BP0_relAbun_error","BP1_relAbun_error","BP2_relAbun_error","BP3_relAbun_error","RingIndex_BP","BP0_d2H_mean","BP1_d2H_mean","BP2_d2H_mean","BP3_d2H_mean","BP0_d2H_error","BP1_d2H_error","BP2_d2H_error","BP3_d2H_error","d2H_wt_BP0123","d2H_wt_BP012","BP0_eps_LW_mean","BP1_eps_LW_mean","BP2_eps_LW_mean","BP3_eps_LW_mean","BP0_eps_LW_error","BP1_eps_LW_error","BP2_eps_LW_error","BP3_eps_LW_error","EpsLW_wt_BP0123","EpsLW_wt_BP012","RingIndex_GDGT","GDGT0_RelAbun","GDGT1_RelAbun","GDGT2_RelAbun","GDGT3_RelAbun","GDGT4_RelAbun","GDGT5_RelAbun","GDGT6_RelAbun","GDGT7_RelAbun","GDGT8_RelAbun","pch","Col","d2H_wt_mean","d2H_wt_mean_sd","EpsLW_wt_mean","Wt_mean_Eps_sd","RingIndex_BP_error","RingDiff_BP1","RingDiff_BP2","RingDiff_BP3","RingDiff_all","RingDiff_BP1_error","RingDiff_BP2_error","RingDiff_BP3_error","RingDiff_all_error","RingEnrichBP1","RingEnrichBP2","RingEnrichBP3","Col_exp","pch_exp"
21,"Enviro",NA,"pH","pH_2","Saci_70_200_2_Rep1","pH_2_Rep1","Rep1","Saci","Batch","AC",70,200,2,NA,125,"Brock","Sucrose",0.1217,5.6956788319618,0.99215,-4.41321,2,3,0.749,97.25,20180413,"Saci Enviro Experiments",-93,-59.75,0.1,1,0.18161413826726,0.307359026706737,0.360582268322238,0.150444566703765,NA,NA,NA,NA,1.47985726346251,-258.098776965725,-252.228562802408,-248.001726507523,-227.760652700018,25.3915527231947,19.1167380886991,10.7540986355757,22.4128916272349,-248.089490336586,-251.689447502369,-210.953232614438,-204.709984368421,-200.214545607576,-178.687213719775,27.0056294747958,20.3322518336497,11.4387537094818,23.837802237387,-200.307886558454,-204.136609946683,3.37068638,1.1703092,5.1391611,22.6467512,26.7485067,21.8966453,15.6329521,6.7206081,0.0450663,0,21,"black",-248.089490336586,18.6196686539297,-200.307886558454,18.6199371852359,NA,6.24324824601641,4.93239113213838,15.0980189478929,10.233681225662,33.8039123173178,13.7775435808798,10.9983224515214,9.39247420464111,5.870214163317,10.097050458202,30.338124265707,"darkgoldenrod1",22
22,"Enviro",NA,"pH","pH_2","Saci_70_200_2_Rep2","pH_2_Rep2","Rep2","Saci","Batch","AC",70,200,2,NA,125,"Brock","Sucrose",0.12276,5.64643607943598,0.99562,-4.51965,2,3,0.655,97.25,20180413,"Saci Enviro Experiments",-93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.328231149,1.1965433,5.1984543,23.4380019,27.1715593,21.9576381,14.859207,6.1427819,0.0358143,0,21,"black",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"darkgoldenrod1",22
23,"Enviro",NA,"pH","pH_2","Saci_70_200_2_Rep3","pH_2_Rep3","Rep3","Saci","Batch","AC",70,200,2,NA,125,"Brock","Sucrose",0.12589,5.50578359901649,0.99499,-4.53434,2,3,0.691,97.25,20180413,"Saci Enviro Experiments",-93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.314228348,1.4245555,5.9360999,23.3921622,25.9352436,21.9756737,15.0636245,6.2326211,0.0400194,0,21,"black",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"darkgoldenrod1",22
24,"Enviro",NA,"pH","pH_2","Saci_70_200_2_Rep4","pH_2_Rep4","Rep4","Saci","Batch","AC",70,200,2,NA,125,"Brock","Sucrose",0.10662,6.5012317531924,0.99222,-4.33393,2,3,0.72,97.25,20180413,"Saci Enviro Experiments",-93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.474391219,1.0945001,4.6512376,20.5914378,25.5043785,23.2955994,17.3206029,7.4892455,0.0529983,0,21,"black",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"darkgoldenrod1",22
25,"Enviro",NA,"pH","pH_2","Saci_70_200_2_Rep5","pH_2_Rep5","Rep5","Saci","Batch","AC",70,200,2,NA,125,"Brock","Sucrose",0.12805,5.41300278347301,0.99623,-4.61862,1,4,0.722,97.25,20180413,"Saci Enviro Experiments",-93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.359661244,1.0762159,4.8339558,23.3119771,26.836954,21.9820992,15.7218448,6.1989401,0.038013,0,21,"black",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"darkgoldenrod1",22
26,"Enviro",NA,"pH","pH_3","Saci_70_200_3_Rep1","pH_3_Rep1","Rep1","Saci","Batch","AC",70,200,3,NA,125,"Brock","Sucrose",0.10437,6.64137963666786,0.99527,-4.40815,1,4,2.0494,101.4275,20170830,"Saci Enviro Experiments",-93,-55.045542145056,0.1,4,0.116041841798385,0.262213078822726,0.610245720923469,0.0114993584554198,0.0422609042754155,0.0348611706439167,0.0736298092048216,0.00349226571451072,1.51720259603592,-220.561620543168,-224.886396132737,-225.49032825019,NA,8.39104251837905,4.85002693672471,2.96228244953333,NA,NA,-224.751537409564,-175.15773064221,-179.734433311444,-180.373545717796,NA,8.88155395991063,5.13548633756659,3.13963764644822,NA,NA,-179.59171879007,3.8624453511592,0.2933157,0.8830019,5.8800226,17.1488598,57.9713886,16.6730594,1.1436506,0.00601409,0.000687324,21,"black",-224.751537409564,4.43796563751484,-179.59171879007,4.43909213688593,0.151691989607905,-4.57670266923358,-1.6235099720727,NA,-2.607907537793,10.2593967008854,3.82149760557879,NA,NA,-4.32477558956899,-4.928707707022,NA,"darkgoldenrod1",22
27,"Enviro",NA,"pH","pH_3","Saci_70_200_3_Rep2","pH_3_Rep2","Rep2","Saci","Batch","AC",70,200,3,NA,125,"Brock","Sucrose",0.10052,6.89530777762844,0.99988,-4.34881,2,4,2.0198,101.4275,20170830,"Saci Enviro Experiments",-93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.766916994776,0.2792269,1.2383955,8.3404496,17.4291681,57.2998751,15.2985572,0,0.1132179,0.00110972,21,"black",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"darkgoldenrod1",22
28,"Enviro",NA,"pH","pH_3","Saci_70_200_3_Rep3","pH_3_Rep3","Rep3","Saci","Batch","AC",70,200,3,NA,125,"Brock","Sucrose",0.10577,6.55334550848726,0.99928,-4.52186,1,4,2.0794,101.4275,20170830,"Saci Enviro Experiments",-93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.676166942408,0.3945665,1.6686507,10.6293468,22.2249852,48.6154197,15.2283426,1.2279004,0.00617588,0.00461226,21,"black",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"darkgoldenrod1",22
29,"Enviro",NA,"pH","pH_3","Saci_70_200_3_Rep4","pH_3_Rep4","Rep4","Saci","Batch","AC",70,200,3,NA,125,"Brock","Sucrose",0.09801,7.07196221272929,0.99992,-4.4673,2,3,1.9282,101.4275,20170830,"Saci Enviro Experiments",-93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6922095242672,0.2997133,1.2380348,9.0117678,21.6784283,54.0459874,13.6103932,0.1146837,0,0.000991584,21,"black",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"darkgoldenrod1",22
30,"Enviro",NA,"pH","pH_3","Saci_70_200_3_Rep5","pH_3_Rep5","Rep5","Saci","Batch","AC",70,200,3,NA,125,"Brock","Sucrose",0.08485,8.16898627691641,0.99806,-4.30588,1,4,1.739,101.4275,20170830,"Saci Enviro Experiments",-93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6979455820928,0.3244825,1.4545504,9.6771264,20.7991523,52.2295369,15.4666094,0,0.0481532,0.000388866,21,"black",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"darkgoldenrod1",22
31,"Enviro",NA,"pH","pH_4","Saci_70_200_4_Rep1","pH_4_Rep1","Rep1","Saci","Batch","AC",70,200,4,NA,125,"Brock","Sucrose",0.10055,6.89374387328694,0.99743,-3.81339,2,3,0.483,93.1333333333333,20180413,"Saci Enviro Experiments",-93,-60.9,0.1,8,0.0548729152031576,0.149998633680955,0.720950300430399,0.0741781506854883,0.00278497600809425,0.00553003723819362,0.00725434066293972,0.00279543018742517,1.81443368659822,-249.245305445506,-250.634069449513,-261.46988072162,-257.321955041428,9.0314749817563,5.91809376395587,5.45024209337338,6.48509831635982,-258.866040297321,-258.989754583031,-200.559371148446,-202.03819555906,-213.576701865212,-209.159786009401,9.61866697408467,6.30416912437836,5.80610276234508,6.90770615072489,-210.80400415006,-210.935741223545,3.044902479,0.9772006,4.2259584,24.5675006,32.1613588,35.7409454,2.2807869,0.0462493,0,0,21,"black",-258.866040297321,5.85363188565466,-210.80400415006,5.85448599389843,0.017646898171255,-1.47882441061353,-9.0235858322671,-0.670228107670318,-3.58944673302645,11.500491411549,5.12373822387013,3.63430653627518,3.13770497519321,-1.38876400400699,-12.224575276114,-8.07664959592199,"darkgoldenrod1",22
32,"Enviro",NA,"pH","pH_4","Saci_70_200_4_Rep2","pH_4_Rep2","Rep2","Saci","Batch","AC",70,200,4,NA,125,"Brock","Sucrose",0.10984,6.31077662843732,0.99017,-4.14983,2,3,0.504,93.1333333333333,20180413,"Saci Enviro Experiments",-93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.970953857,1.067901,4.6515336,26.9408401,32.584291,33.0070969,1.7091131,0.0392243,0,0,21,"black",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"darkgoldenrod1",22
33,"Enviro",NA,"pH","pH_4","Saci_70_200_4_Rep3","pH_4_Rep3","Rep3","Saci","Batch","AC",70,200,4,NA,125,"Brock","Sucrose",0.096,7.22046488296625,0.99603,-3.68449,2,3,0.542,93.1333333333333,20180413,"Saci Enviro Experiments",-93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.076721193,0.8658022,3.7213982,23.9230587,31.8986125,37.5988759,1.940253,0.0519996,0,0,21,"black",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"darkgoldenrod1",22
34,"Enviro",NA,"pH","pH_4","Saci_70_200_4_Rep4","pH_4_Rep4","Rep4","Saci","Batch","AC",70,200,4,NA,125,"Brock","Sucrose",0.10916,6.34957192859524,0.99586,-3.99569,2,3,0.479,93.1333333333333,20180413,"Saci Enviro Experiments",-93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.982670122,1.0454311,4.6774128,26.6354441,32.3272972,33.2764704,1.9967284,0.041216,0,0,21,"black",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"darkgoldenrod1",22
