"Index","ExpType","WaterLabel","ExpType2","Treatment","UniqueID","Treatment_Rep","Replicate","Organism","Cultivation","Experimentor","Temp","RPM","pH","DO","Volume_mL","Media","Energy_Source","GrowthRate","DoublingTime","r","Intercept","StartingObs","NumberObs","SacrificeOD","IncubationHours","InoculationDate","ExpName","Substrate_d2H","Water_d2H","Water_d2H_error","n_analyses","BP0_relAbun_mean","BP1_relAbun_mean","BP2_relAbun_mean","BP3_relAbun_mean","BP0_relAbun_error","BP1_relAbun_error","BP2_relAbun_error","BP3_relAbun_error","RingIndex_BP","BP0_d2H_mean","BP1_d2H_mean","BP2_d2H_mean","BP3_d2H_mean","BP0_d2H_error","BP1_d2H_error","BP2_d2H_error","BP3_d2H_error","d2H_wt_BP0123","d2H_wt_BP012","BP0_eps_LW_mean","BP1_eps_LW_mean","BP2_eps_LW_mean","BP3_eps_LW_mean","BP0_eps_LW_error","BP1_eps_LW_error","BP2_eps_LW_error","BP3_eps_LW_error","EpsLW_wt_BP0123","EpsLW_wt_BP012","RingIndex_GDGT","GDGT0_RelAbun","GDGT1_RelAbun","GDGT2_RelAbun","GDGT3_RelAbun","GDGT4_RelAbun","GDGT5_RelAbun","GDGT6_RelAbun","GDGT7_RelAbun","GDGT8_RelAbun","pch","Col","d2H_wt_mean","d2H_wt_mean_sd","EpsLW_wt_mean","Wt_mean_Eps_sd","RingIndex_BP_error","RingDiff_BP1","RingDiff_BP2","RingDiff_BP3","RingDiff_all","RingDiff_BP1_error","RingDiff_BP2_error","RingDiff_BP3_error","RingDiff_all_error","RingEnrichBP1","RingEnrichBP2","RingEnrichBP3","Col_exp","pch_exp"
1,"Enviro",NA,"Temp","Temp_65","Saci_65_200_3_Rep1","Temp_65_Rep1","Rep1","Saci","Batch","AC",65,200,3,NA,125,"Brock","Sucrose",0.07407,9.35847393527665,0.99182,-4.84204,3,3,1.2698,174.385277777778,20171012,"Saci Enviro Experiments",-93,-47.6340775590872,0.1,3,0.0560745559277261,0.148302546074906,0.764241415964223,0.0313814820331451,0.00280196009459578,0.0062002481468884,0.00213025170097719,0.00169597538081023,1.77092982410279,-233.804575867287,-231.774239601664,-243.343197535965,NA,17.7669794113815,4.52194710107795,2.99883119700098,NA,NA,-241.019702940747,-195.482108212193,-193.350221489053,-205.497819026615,NA,18.656387818485,4.75114026203484,3.15323977931182,NA,NA,-203.05811119954,3.5899824424616,0.3463543,1.4181067,9.4307281,21.6160155,62.2468223,4.7770028,0.1511881,0.0130203,0.000761827,21,"black",-241.019702940747,5.25415217411735,-203.05811119954,5.2551037162726,0.00908195786996876,2.13188672314024,-8.57772647238627,NA,-5.00785540721077,19.2518606950924,5.52306949938734,NA,NA,2.03033626562302,-9.53862166867799,NA,"red",21
2,"Enviro",NA,"Temp","Temp_65","Saci_65_200_3_Rep2","Temp_65_Rep2","Rep2","Saci","Batch","AC",65,200,3,NA,125,"Brock","Sucrose",0.11349,6.10745321955403,0.6849,-5.25424,1,3,1.51,174.385277777778,20171012,"Saci Enviro Experiments",-93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6982898523392,0.2540993,1.2978901,8.1901269,18.5349678,62.3780475,9.0349435,0.3075349,0.00196963,0.000420299,21,"black",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"red",21
3,"Enviro",NA,"Temp","Temp_65","Saci_65_200_3_Rep3","Temp_65_Rep3","Rep3","Saci","Batch","AC",65,200,3,NA,125,"Brock","Sucrose",0.07555,9.17424521766272,0.98068,-4.9559,3,3,1.2282,174.385277777778,20171012,"Saci Enviro Experiments",-93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5508768405456,0.3249856,1.6167338,11.1925239,23.5300566,56.4182079,6.6825701,0.2320829,0.00250376,0.000335432,21,"black",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"red",21
4,"Enviro",NA,"Temp","Temp_65","Saci_65_200_3_Rep4","Temp_65_Rep4","Rep4","Saci","Batch","AC",65,200,3,NA,125,"Brock","Sucrose",0.07815,8.86915368463227,0.85227,-4.49074,1,3,1.391,174.385277777778,20171012,"Saci Enviro Experiments",-93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6033747708864,0.2861254,1.4324278,10.0784204,22.1303915,58.2617743,7.5543859,0.2546739,0.00141905,0.000381733,21,"black",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"red",21
5,"Enviro",NA,"Temp","Temp_65","Saci_65_200_3_Rep5","Temp_65_Rep5","Rep5","Saci","Batch","AC",65,200,3,NA,125,"Brock","Sucrose",0.10425,6.64894088558401,0.77009,-5.06263,1,3,1.4294,174.385277777778,20171012,"Saci Enviro Experiments",-93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5966391301232,0.2674206,1.4614961,10.5043453,22.3783464,57.1583143,7.9558085,0.270916,0.00298023,0.000372529,21,"black",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"red",21
6,"Enviro",NA,"Temp","Temp_70","Saci_70_200_3_Rep1","Temp_70_Rep1","Rep1","Saci","Batch","AC",70,200,3,NA,125,"Brock","Sucrose",0.10437,6.64137963666786,0.99527,-4.40815,1,4,2.0494,101.4275,20170830,"Saci Enviro Experiments",-93,-55.045542145056,0.1,4,0.116041841798385,0.262213078822726,0.610245720923469,0.0114993584554198,0.0422609042754155,0.0348611706439167,0.0736298092048216,0.00349226571451072,1.51720259603592,-220.561620543168,-224.886396132737,-225.49032825019,NA,8.39104251837905,4.85002693672471,2.96228244953333,NA,NA,-224.751537409564,-175.15773064221,-179.734433311444,-180.373545717796,NA,8.88155395991063,5.13548633756659,3.13963764644822,NA,NA,-179.59171879007,3.8624453511592,0.2933157,0.8830019,5.8800226,17.1488598,57.9713886,16.6730594,1.1436506,0.00601409,0.000687324,21,"black",-224.751537409564,4.43796563751484,-179.59171879007,4.43909213688593,0.151691989607905,-4.57670266923358,-1.6235099720727,NA,-2.607907537793,10.2593967008854,3.82149760557879,NA,NA,-4.32477558956899,-4.928707707022,NA,"red",21
7,"Enviro",NA,"Temp","Temp_70","Saci_70_200_3_Rep2","Temp_70_Rep2","Rep2","Saci","Batch","AC",70,200,3,NA,125,"Brock","Sucrose",0.10052,6.89530777762844,0.99988,-4.34881,2,4,2.0198,101.4275,20170830,"Saci Enviro Experiments",-93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.766916994776,0.2792269,1.2383955,8.3404496,17.4291681,57.2998751,15.2985572,0,0.1132179,0.00110972,21,"black",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"red",21
8,"Enviro",NA,"Temp","Temp_70","Saci_70_200_3_Rep3","Temp_70_Rep3","Rep3","Saci","Batch","AC",70,200,3,NA,125,"Brock","Sucrose",0.10577,6.55334550848726,0.99928,-4.52186,1,4,2.0794,101.4275,20170830,"Saci Enviro Experiments",-93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.676166942408,0.3945665,1.6686507,10.6293468,22.2249852,48.6154197,15.2283426,1.2279004,0.00617588,0.00461226,21,"black",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"red",21
9,"Enviro",NA,"Temp","Temp_70","Saci_70_200_3_Rep4","Temp_70_Rep4","Rep4","Saci","Batch","AC",70,200,3,NA,125,"Brock","Sucrose",0.09801,7.07196221272929,0.99992,-4.4673,2,3,1.9282,101.4275,20170830,"Saci Enviro Experiments",-93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6922095242672,0.2997133,1.2380348,9.0117678,21.6784283,54.0459874,13.6103932,0.1146837,0,0.000991584,21,"black",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"red",21
10,"Enviro",NA,"Temp","Temp_70","Saci_70_200_3_Rep5","Temp_70_Rep5","Rep5","Saci","Batch","AC",70,200,3,NA,125,"Brock","Sucrose",0.08485,8.16898627691641,0.99806,-4.30588,1,4,1.739,101.4275,20170830,"Saci Enviro Experiments",-93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6979455820928,0.3244825,1.4545504,9.6771264,20.7991523,52.2295369,15.4666094,0,0.0481532,0.000388866,21,"black",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"red",21
