"ExpType2","Treatment","n","n.iso","Water_d2H_mean","Water_d2H_error","BP0_RAb_norm","BP0_RAb_sd","BP0_d2H","BP0_d2H_sd","BP0_Eps","BP0_Eps_sd","BP1_RAb_norm","BP1_RAb_sd","BP1_d2H","BP1_d2H_sd","BP1_Eps","BP1_Eps_sd","BP1_RingDiff","BP1_RingDiff_sd","BP2_RAb_norm","BP2_RAb_sd","BP2_d2H","BP2_d2H_sd","BP2_Eps","BP2_Eps_sd","BP2_RingDiff","BP2_RingDiff_sd","BP3_RAb_norm","BP3_RAb_sd","BP3_d2H","BP3_d2H_sd","BP3_Eps","BP3_Eps_sd","BP3_RingDiff","BP3_RingDiff_sd","RingIndex_BP","RingIndex_BP_error","AllBP_d2H_wt_mean","AllBP_d2H_wt_error","AllBP_EpsLW_wt_mean","AllBP_EpsLW_wt_error","AllBP_RingDiff_mean","AllBP_RingDiff_error"
"Temp","Temp_65",5,1,-47.6340775590872,0.1,0.0560745559277261,0.00280196009459578,-233.804575867287,17.7669794113815,-195.482108212193,18.656387818485,0.148302546074906,0.0062002481468884,-231.774239601664,4.52194710107795,-193.350221489053,4.75114026203484,2.13188672314024,19.2518606950924,0.764241415964223,0.00213025170097719,-243.343197535965,2.99883119700098,-205.497819026615,3.15323977931182,-8.57772647238627,5.52306949938734,0.0313814820331451,0.00169597538081023,NA,NA,NA,NA,NA,NA,1.77092982410279,0.00908195786996876,-241.019702940747,5.25415217411735,-203.05811119954,5.2551037162726,-5.00785540721077,0
"Temp","Temp_70",5,1,-55.045542145056,0.1,0.116041841798385,0.0422609042754155,-220.561620543168,8.39104251837905,-175.15773064221,8.88155395991063,0.262213078822726,0.0348611706439167,-224.886396132737,4.85002693672471,-179.734433311444,5.13548633756659,-4.57670266923358,10.2593967008854,0.610245720923469,0.0736298092048216,-225.49032825019,2.96228244953333,-180.373545717796,3.13963764644822,-1.6235099720727,3.82149760557879,0.0114993584554198,0.00349226571451072,NA,NA,NA,NA,NA,NA,1.51720259603592,0.151691989607905,-224.751537409564,4.43796563751484,-179.59171879007,4.43909213688593,-2.607907537793,0
"Temp","Temp_75",5,1,-54.1827128288745,0.1,0.0573212112131982,0.00588122877289464,-261.972186577378,4.31916733143295,-219.693038567721,4.56957797020535,0.132392257187865,0.00731650642804469,-256.194525994459,4.46485791736938,-213.58439511059,4.72356280410346,6.1086434571308,6.57214488505052,0.595661572426007,0.024027934792021,-267.952377892508,5.2987984452201,-226.015815066147,5.60473901173342,-7.79640410238435,4.08652298744955,0.21462495917293,0.0168965343944984,-268.414535667101,3.76462480710513,-226.504448315783,3.98364676784076,-3.07304325608457,2.60152305603157,1.96759027955867,0.0702305755258369,-266.152128124078,4.84510995603358,-224.112435002314,4.84614181448043,-3.1172157526486,2.11431825782932
"Temp","Temp_80",5,1,-52.6947973081652,0.1,0.0744273060774896,0.00576946890412057,-252.655528344205,12.7732140725359,-211.083746260273,13.484765544394,0.138650656559498,0.0016333371363458,-248.310326668707,6.49116901415244,-206.496838405074,6.85429438982992,4.586907855199,15.1268057887225,0.458528186935334,0.00836535143084401,-262.245435027919,4.64021312571323,-221.207101073974,4.90108843468337,-9.8859700378749,5.53323846935514,0.328393850427679,0.00532777419237411,-260.14285022465,2.71435312886536,-218.987557892648,2.87008230009655,-2.22014014663984,2.73216046530752,2.0408885817132,0.0231959222505036,-258.909096265287,5.50251174434446,-217.685175138012,5.50342034526245,-3.64090877674505,3.08250115749863
"pH","pH_2",5,1,-59.75,0.1,0.18161413826726,NA,-258.098776965725,25.3915527231947,-210.953232614438,27.0056294747958,0.307359026706737,NA,-252.228562802408,19.1167380886991,-204.709984368421,20.3322518336497,6.24324824601641,33.8039123173178,0.360582268322238,NA,-248.001726507523,10.7540986355757,-200.214545607576,11.4387537094818,4.93239113213838,13.7775435808798,0.150444566703765,NA,-227.760652700018,22.4128916272349,-178.687213719775,23.837802237387,15.0980189478929,10.9983224515214,1.47985726346251,0,-248.089490336586,18.6196686539297,-200.307886558454,18.6199371852359,10.233681225662,9.39247420464111
"pH","pH_3",5,1,-55.045542145056,0.1,0.116041841798385,0.0422609042754155,-220.561620543168,8.39104251837905,-175.15773064221,8.88155395991063,0.262213078822726,0.0348611706439167,-224.886396132737,4.85002693672471,-179.734433311444,5.13548633756659,-4.57670266923358,10.2593967008854,0.610245720923469,0.0736298092048216,-225.49032825019,2.96228244953333,-180.373545717796,3.13963764644822,-1.6235099720727,3.82149760557879,0.0114993584554198,0.00349226571451072,NA,NA,NA,NA,NA,NA,1.51720259603592,0.151691989607905,-224.751537409564,4.43796563751484,-179.59171879007,4.43909213688593,-2.607907537793,0
"pH","pH_4",5,1,-60.9,0.1,0.0548729152031576,0.00278497600809425,-249.245305445506,9.0314749817563,-200.559371148446,9.61866697408467,0.149998633680955,0.00553003723819362,-250.634069449513,5.91809376395587,-202.03819555906,6.30416912437836,-1.47882441061353,11.500491411549,0.720950300430399,0.00725434066293972,-261.46988072162,5.45024209337338,-213.576701865212,5.80610276234508,-9.0235858322671,5.12373822387013,0.0741781506854883,0.00279543018742517,-257.321955041428,6.48509831635982,-209.159786009401,6.90770615072489,-0.670228107670318,3.63430653627518,1.81443368659822,0.017646898171255,-258.866040297321,5.85363188565466,-210.80400415006,5.85448599389843,-3.58944673302645,3.13770497519321
"RPM","RPM_50",5,1,-47.5710757500434,0.1,0.216282029770437,0.00658678579414435,-230.161123315377,3.26918610646216,-191.709893427611,3.43666650336122,0.35313310227645,0.0152431384792752,-227.239499370326,5.10830533489513,-188.642342799251,5.36615586860365,3.06755062835995,6.37230770298127,0.410211724944215,0.00639745637602863,-231.581580779103,4.11271002886961,-193.201298641753,4.32145027700123,-2.65232922478643,3.71119804075191,0.0203731430088988,0.00342359841079206,-222.034896155415,34.4099855408708,-183.177784675915,36.1290721607801,5.19994309269081,14.1572827134552,1.23467598119158,0.0223953633088753,-229.546532706328,6.52592830750977,-191.064605791547,6.52669443706057,2.22712024280992,9.86291503649524
"RPM","RPM_125",5,1,-46.3280193923118,0.1,0.0690600535863194,0.00405244122897028,-235.184032819258,11.8784308161174,-198.030368163491,12.4566034279846,0.180311631992884,0.00807152708241224,-231.474241601274,7.13286263549,-194.140360599653,7.48127599781035,3.8900075638376,14.5305354174404,0.696497095621709,0.0137788783449216,-238.732005279628,6.6453829629962,-201.750696046155,6.97021675150684,-4.7352496939167,6.23480422205994,0.0541312187990874,0.00373108810938687,-238.678636265675,20.8013374263752,-201.694734441915,21.8124791134055,-1.64756024767766,8.99019398499827,1.73569947963356,0.0308199394798041,-237.175433968158,8.54976875525697,-200.118508729004,8.5503535463961,-1.75386209450479,6.65802638226841
"RPM","RPM_300",5,1,-46.9495475711776,0.1,0.0707679846498764,0.0029332308535739,-238.404665784901,6.46278515399808,-200.886655817439,6.78323064424253,0.194029941766314,0.00504438987008937,-239.892941691365,4.55035075720528,-202.448247759053,4.77744453763315,-1.56159194161356,8.29675805861252,0.67585288738839,0.00589401854800006,-244.141141285887,2.07443905188149,-206.905723838829,2.1829846303372,-3.73350504523594,3.17347633415507,0.0593491861954198,0.00174595105864269,-254.00019350147,12.7205396186617,-217.250456576176,13.3481945984339,-7.73347913293999,5.35515227267772,1.72378327512935,0.0138505882052249,-243.496031281405,4.41420020904534,-206.228834170672,4.4153327717779,-5.37150657181757,3.94449118964293
