"ExpType2","Treatment","Temperature","pH","RPM","DO","Water_d2H_Mean","Substrate","N","GrowthRate_Mean","GrowthRate_SD","DoublingTime_Mean","DoublingTime_SD","SacrificeOD_Mean","SacrificeOD_SD"
"Temp","Temp_65",65,3,200,NA,-47.6340775590872,"Sucrose",5,0.089102,0.0183970138881287,8.03165338854194,1.53148749205892,1.36568,0.115783556690922
"Temp","Temp_70",70,3,200,NA,-55.045542145056,"Sucrose",5,0.098704,0.00833283745191277,7.06619628248585,0.649782078433826,1.96316,0.137501883623462
"Temp","Temp_75",75,3,200,NA,-54.1827128288745,"Sucrose",5,0.160592,0.0211426859693843,4.37955289547509,0.603468975197712,1.60948,0.22633667842398
"Temp","Temp_80",80,3,200,NA,-52.6947973081652,"Sucrose",5,0.186086,0.0091171832272912,3.73219775644434,0.186168177253412,1.65268,0.214768461371776
"pH","pH_2",70,2,200,NA,-59.75,"Sucrose",5,0.121004,0.00842594979809398,5.75242660941594,0.433360344930793,0.7074,0.0357673035047374
"pH","pH_3",70,3,200,NA,-55.045542145056,"Sucrose",5,0.098704,0.00833283745191277,7.06619628248585,0.649782078433826,1.96316,0.137501883623462
"pH","pH_4",70,4,200,NA,-60.9,"Sucrose",5,0.104866,0.00623963781000147,6.62936280551067,0.407793650070848,0.4944,0.0302043043290191
"RPM","RPM_50",70,3,50,NA,-47.5710757500434,"Sucrose",5,0.021198,0.000968488513096567,32.7528332861595,1.49703814903978,0.2204,0.00952890339965728
"RPM","RPM_125",70,3,125,NA,-46.3280193923118,"Sucrose",5,0.07881,0.00458107520130373,8.81919626823689,0.514441782563423,0.7306,0.013145341380124
"RPM","RPM_300",70,3,300,NA,-46.9495475711776,"Sucrose",5,0.074918,0.00198970349549876,9.25745183449028,0.245684753871466,0.6286,0.0151426549851735
"DO","DO_0.2",70,3,200,0.2,-46.8580151093567,"Sucrose",3,0.0218366666666667,0.00497749267536712,33.052794579492,8.6363169352078,0.0773333333333333,0.00404145188432738
"DO","DO_0.5",70,3,200,0.5,-55.5655650366667,"Sucrose",3,0.0521166666666667,0.0150813471988856,14.1655645476871,4.53541005739251,0.104,0.002
"DO","DO_2",70,3,200,2,-51.2945545821395,"Sucrose",3,0.0937866666666667,0.00767556078298735,7.42478096723295,0.62593470792391,0.235333333333333,0.0204042479237372
"DO","DO_20",70,3,200,20,-50.9770963983797,"Sucrose",3,0.337926666666667,0.206962927195508,2.58389007949373,1.36282975966171,0.315333333333333,0.0378989885529064
"Flux","TD_7",70,2.25,200,20,-59.687373673163,"Sucrose & NZ-amine",6,0.142876583,0.0018257963951085,7.00000000833333,0.089442723572128,0.8379,0.0980261699751653
"Flux","TD_21",70,2.25,200,20,-59.4913574553912,"Sucrose & NZ-amine",9,0.047638774,0.0010356255,20.9999999166667,0.44999999,0.8841,0.0325349043336537
"Flux","TD_44",70,2.25,200,20,-50.0837815261887,"Sucrose & NZ-amine",6,0.0228643066666667,0.00272189897957413,44.3,5.68436444785167,1.12033333333333,0.0392470805708314
"Water","Water_-400",70,3,200,NA,-361.69656658566,"Glucose & NZ-amine",3,0.103816666666667,0.00149017896017,6.67756312563014,0.0960341556146362,0.721666666666667,0.00850490054811539
"Water","Water_-50",70,3,200,NA,-48.1151310030709,"Glucose & NZ-amine",3,0.0802933333333333,0.00253854945457703,8.63866500966038,0.269570861128714,0.683333333333333,0.00503322295684712
"Water","Water_+400",70,3,200,NA,420.860479741168,"Glucose & NZ-amine",3,0.0825566666666667,0.00103345698184943,8.39659993053586,0.104460873982528,0.649666666666667,0.00838649708360609
